String,Type,label
Hurry! Less than 10 left!,Scarcity,1
Items in your cart are in high demand.,Scarcity,1
72% offers claimed. Hurry up!,Scarcity,1
HURRY ONLY 1 ITEM LEFT!,Scarcity,1
5 items left,Scarcity,1
Low Stock – Selling Fast,Scarcity,1
HURRY! ONLY 11 LEFT IN STOCK.,Scarcity,1
Only 3 left!,Scarcity,1
(5 Left),Scarcity,1
There are only 1 item left in stock.,Scarcity,1
QUANTITY: *ONLY 1 LEFT,Scarcity,1
Availability: Low Stock,Scarcity,1
Don't miss out on this item! There is only 1 left in stock.,Scarcity,1
only 5 left in stock!,Scarcity,1
Low Stock,Scarcity,1
"Our items sell fast, don't miss out!",Scarcity,1
Will sell out fast!,Scarcity,1
80% offers claimed. Hurry up!,Scarcity,1
Only 867 left,Scarcity,1
1 LEFT,Scarcity,1
ONLY 1 ITEM LEFT!,Scarcity,1
HIGH DEMAND,Scarcity,1
Selling Fast,Scarcity,1
67% offers claimed. Hurry up!,Scarcity,1
Only 1 in stock,Scarcity,1
ONLY A FEW LEFT IN STOCK,Scarcity,1
Hurry! Only 2 left in stock,Scarcity,1
Hurry! Only Limited Items Left,Scarcity,1
Hurry! Only a few of these left,Scarcity,1
Limited-time Deal,Scarcity,1
Only 26 Left,Scarcity,1
only 7 pieces left,Scarcity,1
LIMITED QUANTITY,Scarcity,1
"Only 5 left , In Stock",Scarcity,1
Only 2 left!,Scarcity,1
1 Left,Scarcity,1
"Hurry, limited quantities left!",Scarcity,1
Only: 9 in stock now,Scarcity,1
ONLY 3 LEFT,Scarcity,1
Only 5 left,Scarcity,1
HURRY! Only a few left in stock!,Scarcity,1
Please note all products are made in limited quantities and we rarely restock - checkout now so you don't miss out!,Scarcity,1
Hurry! Almost Sold Out...,Scarcity,1
Only 1 Left !,Scarcity,1
"Hurry, only 5 left",Scarcity,1
6 items left! Order soon.,Scarcity,1
ONLY 14 LEFT AT THIS PRICE,Scarcity,1
9 items left,Scarcity,1
LIVE REMAINING STOCK,Scarcity,1
"Hurry, Only a few left!",Scarcity,1
Stock Low : 6 items left.,Scarcity,1
Only 69 left!,Scarcity,1
Strong demand! Complete your order before it's too late!,Scarcity,1
89% offers claimed. Hurry up!,Scarcity,1
ONLY A FEW LEFT!,Scarcity,1
Only 4 left in stock,Scarcity,1
"Only 3 left, order soon",Scarcity,1
2 items left,Scarcity,1
2 left in stock,Scarcity,1
only 5 left,Scarcity,1
Only 14 left in stock,Scarcity,1
Availability: Only 1 Left,Scarcity,1
"Hurry, only 2 left in stock",Scarcity,1
Only 33 left,Scarcity,1
Only one left in stock - order soon!,Scarcity,1
Fewer than 5 left!,Scarcity,1
BOTTLES LEFT 3,Scarcity,1
ONLY A FEW LEFT,Scarcity,1
(Only 1 Left),Scarcity,1
Only 3 Left in Stock!,Scarcity,1
ONLY 4 LEFT IN STOCK,Scarcity,1
Hurry! Only 7 left,Scarcity,1
Pillowcases & Shams,Not Dark Pattern,0
Write a review,Not Dark Pattern,0
"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",Not Dark Pattern,0
 newsletter signup (privacy policy) ,Not Dark Pattern,0
"We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.",Not Dark Pattern,0
International Shipping Policy,Not Dark Pattern,0
"Clothes, Shoes & Accessories",Not Dark Pattern,0
Primary Arms Scopes,Not Dark Pattern,0
MoTrail,Not Dark Pattern,0
LCD Ribbon Cables,Not Dark Pattern,0
READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?,Not Dark Pattern,0
 read you will want to read -- Five Book Group Favourites * Sunday Post *,Not Dark Pattern,0
 Supply & Demand ,Not Dark Pattern,0
Bathroom Lighting,Not Dark Pattern,0
 Shop Optics > ,Not Dark Pattern,0
Girls Trousers,Not Dark Pattern,0
Specs,Not Dark Pattern,0
More Info,Not Dark Pattern,0
Daystate FAC Air Rifles,Not Dark Pattern,0
"Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.",Not Dark Pattern,0
 #CERTIFIED_FACE_MASKS ,Not Dark Pattern,0
Shop the Look,Not Dark Pattern,0
Kicks Remotes,Not Dark Pattern,0
Whey Protein Isolate,Not Dark Pattern,0
 Cases for Magsafe Refine by Product Type: Cases for Magsafe ,Not Dark Pattern,0
Product Info,Not Dark Pattern,0
 Sign In With Google ,Not Dark Pattern,0
Shop All,Not Dark Pattern,0
 You can change your preference here Shop for Select an age ,Not Dark Pattern,0
 shop all ,Not Dark Pattern,0
Womens Platform Shoes,Not Dark Pattern,0
Screen print graphics,Not Dark Pattern,0
Thin and tough - protects from minor scratches,Not Dark Pattern,0
Kimberly R.,Not Dark Pattern,0
 Butterscotch Cakes ,Not Dark Pattern,0
Awntech New Yorker Window/Entry Slope Awnin ...,Not Dark Pattern,0
 Irwin ,Not Dark Pattern,0
__________,Not Dark Pattern,0
 Personalised Gifts ,Not Dark Pattern,0
A customer service specialist will contact you soon.,Not Dark Pattern,0
 Screws & Other Fixings ,Not Dark Pattern,0
Use the domain shortly after payment,Not Dark Pattern,0
Office Supplies & Decor,Not Dark Pattern,0
Arrow,Not Dark Pattern,0
Returns an Item,Not Dark Pattern,0
Hair type: Curly,Not Dark Pattern,0
Search for similiar products,Not Dark Pattern,0
FAMILY SHADE PACK | PICK YOUR PACK,Not Dark Pattern,0
Promaster City Remotes,Not Dark Pattern,0
 V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. ,Not Dark Pattern,0
Hair Tools,Not Dark Pattern,0
Email Address*,Not Dark Pattern,0
 Send Us Your Jersey ,Not Dark Pattern,0
 View All Home Office Furniture ,Not Dark Pattern,0
Search Result:Search Results: ,Not Dark Pattern,0
Tube Tops,Not Dark Pattern,0
Hair type: Wavy,Not Dark Pattern,0
Glow Gear,Not Dark Pattern,0
Deals of the Week,Not Dark Pattern,0
" ... It covers love and loss, friendship and pain through ",Not Dark Pattern,0
" Gift TypeFlowers, Cakes, Plants, etc. ",Not Dark Pattern,0
 CAMILLA World ,Not Dark Pattern,0
Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading,Not Dark Pattern,0
Fun Treat Tossing,Not Dark Pattern,0
Your shopping bag is empty...,Not Dark Pattern,0
Trousers & Chinos,Not Dark Pattern,0
 Chargers ,Not Dark Pattern,0
 Eyelashes ,Not Dark Pattern,0
Pick the price that matches your budget. ,Not Dark Pattern,0
"Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!",Not Dark Pattern,0
Child Safety,Not Dark Pattern,0
 Cosmic Rainbow ,Not Dark Pattern,0
NRA Annual Meetings & Exhibits,Not Dark Pattern,0
ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes,Not Dark Pattern,0
 Moonstone Beads ,Not Dark Pattern,0
 Netherlands Antilles USD,Not Dark Pattern,0
Was this product description useful?YesNo,Not Dark Pattern,0
Returns Information,Not Dark Pattern,0
TiesToys & GamesTravelWatches,Not Dark Pattern,0
Books and Stationery,Not Dark Pattern,0
 Bioactive Custodians ,Not Dark Pattern,0
 Most-Hearted Styles Shop Now ,Not Dark Pattern,0
 Use a clean vase and clean water.,Not Dark Pattern,0
" well, this is awkward. ",Not Dark Pattern,0
@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done 👏,Not Dark Pattern,0
 All Licensed ,Not Dark Pattern,0
Nursing chairs,Not Dark Pattern,0
Juniors' Shoes,Not Dark Pattern,0
Switchers,Not Dark Pattern,0
 Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy ,Not Dark Pattern,0
Ribbons,Not Dark Pattern,0
"By clicking Sign Up, you agree to receive marketing text messages from Southern Tide at the number provided, including messages sent by autodialer. Consent is not a condition of any purchase. Message and data rates may apply. Message frequency varies. Reply HELP for help or STOP to cancel. View our Privacy Policy and Terms of Service.",Not Dark Pattern,0
 Amethyst Beads ,Not Dark Pattern,0
Down Jackets,Not Dark Pattern,0
Buy Wearables»,Not Dark Pattern,0
 Watercolour Brushes Toggle category Watercolour Brushes ,Not Dark Pattern,0
LightInTheBox 掲載記事,Not Dark Pattern,0
Clear filter,Not Dark Pattern,0
 Sweats ,Not Dark Pattern,0
Q: Will this damage my hair?,Not Dark Pattern,0
Brandon Blackwood,Not Dark Pattern,0
 End Tables,Not Dark Pattern,0
" Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase ",Not Dark Pattern,0
"We use cookies to improve our services, make personal offers, and enhance your experience. If you do not accept optional cookies below, your experience may be affected. If you want to know more, please, read the Cookie Policy",Not Dark Pattern,0
"Great prices, professional customer services",Not Dark Pattern,0
Carnival Remotes,Not Dark Pattern,0
 VIP Points! ,Not Dark Pattern,0
Root Touch Up + Brow Filler,Not Dark Pattern,0
" Looks like your cart is empty, let's fix that! ",Not Dark Pattern,0
Lasers ,Not Dark Pattern,0
Choose your payment day. View your schedule and select pay now.,Not Dark Pattern,0
 E-Gift Cards ,Not Dark Pattern,0
 Personalised Chocolates ,Not Dark Pattern,0
Shop Dresses by Occasion,Not Dark Pattern,0
Wallets ,Not Dark Pattern,0
 Exclusive offers & discounts for club members via email ,Not Dark Pattern,0
Buy with humm.,Not Dark Pattern,0
" Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed, Bath & Living ",Not Dark Pattern,0
Synthesis E-MTB Carbon Wheelset,Not Dark Pattern,0
Women's ApparelCollection ,Not Dark Pattern,0
 Women's Sandals ,Not Dark Pattern,0
 Plant-Based Beauty ,Not Dark Pattern,0
 Frame out of stock in this colour,Not Dark Pattern,0
Hair Care Sets,Not Dark Pattern,0
CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map,Not Dark Pattern,0
Printed ,Not Dark Pattern,0
Patient Transfer Devices,Not Dark Pattern,0
 Summer Casual Printed Loosen Short Sleeve T-Shirt ,Not Dark Pattern,0
 Summer V Neck Solid Color Short Sleeve Waffle T-Shirt ,Not Dark Pattern,0
 Heart Shaped Cake ,Not Dark Pattern,0
You've made the starting lineup. Be on the look out for an exclusive offer for signing up.,Not Dark Pattern,0
Universal Fit Collapsible Smart Phone Stand,Not Dark Pattern,0
現代奴隷法に対する透明性に関する声明 (opens in a new tab),Not Dark Pattern,0
Gift Wrapping Supplies,Not Dark Pattern,0
info@coolhockey.com,Not Dark Pattern,0
 Safe & Secure Checkout ,Not Dark Pattern,0
Wall Mounted Air Conditioners,Not Dark Pattern,0
Product Feature,Not Dark Pattern,0
Plant-based Protein,Not Dark Pattern,0
Parad Combo Deals ,Not Dark Pattern,0
Last Shape Guide,Not Dark Pattern,0
 Baby & Toddler Toys ,Not Dark Pattern,0
Clocks ,Not Dark Pattern,0
 Cat's Eye Beads ,Not Dark Pattern,0
Shop now. Pay later. Always interest-free,Not Dark Pattern,0
Stay with us in India,Not Dark Pattern,0
Wyse Thin Client,Not Dark Pattern,0
AdjustableBucketHeadbandsSale Items- View All -,Not Dark Pattern,0
 Every bicycle tells a story ,Not Dark Pattern,0
" This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in. ",Not Dark Pattern,0
Intercoms & Doorbells,Not Dark Pattern,0
Boys Purple School Uniforms,Not Dark Pattern,0
Fashion Forms,Not Dark Pattern,0
Terrarium Light Canopies,Not Dark Pattern,0
Feedback,Not Dark Pattern,0
Receive news and updates on new products,Not Dark Pattern,0
 dFresh - Fresh Products ,Not Dark Pattern,0
Thanks! -RMO Team,Not Dark Pattern,0
Welcome To Hotter us,Not Dark Pattern,0
" To enable notifications, click 'Allow' when prompted. ",Not Dark Pattern,0
 PHX Mercury ,Not Dark Pattern,0
Easy Release Cleat Kit,Not Dark Pattern,0
Flowers Trivia:,Not Dark Pattern,0
I've recommended The Keeper of Lost Things to everyone.,Not Dark Pattern,0
Celebrity Synthetic Wigs,Not Dark Pattern,0
"Book picture is for illustrative purposes only, actual binding, cover or edition may vary.",Not Dark Pattern,0
 Glow Gear ,Not Dark Pattern,0
Converse,Not Dark Pattern,0
Stay Connected,Not Dark Pattern,0
sales@ecklers.net,Not Dark Pattern,0
Explore The NRA Universe Of Websites,Not Dark Pattern,0
New In Special Occasion,Not Dark Pattern,0
"› New Year, New Kit Sale",Not Dark Pattern,0
 Title of Review ,Not Dark Pattern,0
We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more,Not Dark Pattern,0
Cellular/Honeycomb Shades,Not Dark Pattern,0
Epilepsy Safe Profile: this profile enables people with epilepsy to safely use the website by eliminating the risk of seizures resulting from flashing or blinking animations and risky color combinations.,Not Dark Pattern,0
Loading interface...,Not Dark Pattern,0
 SAF Warriors ,Not Dark Pattern,0
 Lens Manual Washer ,Not Dark Pattern,0
Warm Tips,Not Dark Pattern,0
 Our Carbon Footprint ,Not Dark Pattern,0
 Women's Summer New Clerk Large Size Loose Cotton And Linen Blouse ,Not Dark Pattern,0
| Add to Compare,Not Dark Pattern,0
 World of Sweats ,Not Dark Pattern,0
Cargo Trousers,Not Dark Pattern,0
Hair Bundles With Closure,Not Dark Pattern,0
BreakThrough,Not Dark Pattern,0
ShopClose menu,Not Dark Pattern,0
Used Rifles,Not Dark Pattern,0
 Motocross Boots ,Not Dark Pattern,0
 Remove Product? ,Not Dark Pattern,0
 Nursery ,Not Dark Pattern,0
Footwear Accessories,Not Dark Pattern,0
and future features included!,Not Dark Pattern,0
Natural Backgrounds,Not Dark Pattern,0
Speed Lace Accessory Kit - Orange,Not Dark Pattern,0
"Package RecyclingWe do try when possible to reuse packaging from our own suppliers in order to send purchased items to our customers, we ask if the packaging is still in good condition after you've received your goods then please try to use it again or recycle if not possible.",Not Dark Pattern,0
on Freight,Not Dark Pattern,0
Canvas Wall Art,Not Dark Pattern,0
JFN V Neck Lace Cut-Out Basic T-Shirt/Tee,Not Dark Pattern,0
or,Not Dark Pattern,0
