String,Type,label,aug
We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more,Not Dark Pattern,0,0
"Book picture is for illustrative purposes only, actual binding, cover or printing may vary.",Not Dark Pattern,0,1
Crystal Shivlingas ,Not Dark Pattern,0,0
"No thanks, I'd like 0% off",Misdirection,1,0
+ Performance Analysis,Not Dark Pattern,0,1
(Only 1 left!),Scarcity,1,0
 Mixed Wine Cases ,Not Dark Pattern,0,0
Toy & Toddler Toys,Not Dark Pattern,0,1
CHF,Not Dark Pattern,0,0
"PROTECT YOUR SOFA! Your Humblebum Sofa in your house fabric will look wicked! Why not add Castelan Fabric Protection to cover your new squish machine against wine spillages, messy TV dinners, and other disasters for just just £80?",Misdirection,1,1
 All Birthday Gifts ,Not Dark Pattern,0,0
Only 33 left,Scarcity,1,0
"NO THANKS, I DON’T WANT 15% OFF",Misdirection,1,0
Christmas Craft s,Not Dark Pattern,0,1
"No Thanks, I Don't Want a Discount",Misdirection,1,0
 World of Sweats ,Not Dark Pattern,0,0
Sparkling Elegance,Not Dark Pattern,0,0
Facebook icon,Not Dark Pattern,0,0
 Alchemy Books ,Not Dark Pattern,0,0
 Gut Health ,Not Dark Pattern,0,0
Only 2 left in stock,Scarcity,1,0
You might also like,Not Dark Pattern,0,0
Stay on Next.co.uk,Not Dark Pattern,0,0
 Bob Ross Oil Brushes ,Not Dark Pattern,0,0
Excellent service and quality! Lee up the excellent work.,Not Dark Pattern,0,1
Returns an Item,Not Dark Pattern,0,0
HURRY UP > 09H 42M 39S,Urgency,1,0
Crossman Air Pistols,Not Dark Pattern,0,0
Parad Combo Deals ,Not Dark Pattern,0,0
Ask a Question,Not Dark Pattern,0,0
Special sale ends in,Urgency,1,0
Tickets sold in last 5 hours,Social Proof,1,1
Flash Sale ends ! SHOP NOW,Urgency,1,1
Limited time offer,Urgency,1,0
Don't miss out on this item! There is only 1 left in stock.,Scarcity,1,0
Thank you for posting a question!,Not Dark Pattern,0,0
#6 Bestseller in Rugs This item was viewed 92 times in the last day.,Social Proof,1,0
Tactical Rifles,Not Dark Pattern,0,0
Spin to unlock your mystery offer,Misdirection,1,0
"No thanks, free stuff works for me.",Misdirection,1,1
18 In Stock,Scarcity,1,0
"Now 30% off - hurry, limited time offer!",Urgency,1,0
Bath Decor,Not Dark Pattern,0,0
FLASH BACK | LIMITED TIME ONLY Shop Now,Urgency,1,1
Perhaps you could...,Not Dark Pattern,0,0
11 11 Hours: Total 22 Minutes: 3223 3223 Seconds Sale Ends Once The Timer Hits Zero!,Urgency,1,1
Bought by 39 people in last few hours! HOT SELLER!,Social Proof,1,0
SAVE 10% On All Orders. No Voucher Code Needed Expires in 18:07:59.,Urgency,1,0
"No thanks, I want to pay full price",Misdirection,1,0
407 customers have viewed this item recently,Social Proof,1,0
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,1,0
Great for shine,Not Dark Pattern,0,0
Root Touch Up + Brow Down,Not Dark Pattern,0,1
 Send Us Your Jersey ,Not Dark Pattern,0,0
Free Embroidery Patterns,Not Dark Pattern,0,0
2 DAYS OFF,Urgency,1,1
Email Address*,Not Dark Pattern,0,0
1 Left,Scarcity,1,0
Fun Treat Tossing,Not Dark Pattern,0,0
"No thanks, I'll pay full refund",Misdirection,1,1
and future features included!,Not Dark Pattern,0,0
 Write a reviewAsk a question,Not Dark Pattern,0,0
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,Urgency,1,0
sales@ecklers.net </s>,Not Dark Pattern,0,1
Browse From A-Z,Not Dark Pattern,0,1
Sunwayfoto,Not Dark Pattern,0,0
"Sorry, this is out of stock. You just missed it.",Scarcity,1,0
 Women's Sandals ,Not Dark Pattern,0,0
Someone in United States just purchased a,Social Proof,1,0
 Sunflower ,Not Dark Pattern,0,0
 Air Purifying Plants ,Not Dark Pattern,0,0
Summary,Not Dark Pattern,0,0
Child Safety,Not Dark Pattern,0,0
Orthopedic,Not Dark Pattern,0,0
 Travel Accessories ,Not Dark Pattern,0,0
 Comfy and looks great ,Not Dark Pattern,0,0
Low in stock,Scarcity,1,0
Panther Anole,Not Dark Pattern,0,0
 SAF Warriors ,Not Dark Pattern,0,0
92 customers reported this in the last 48 hours,Social Proof,1,1
 Tweet Share Pin It Add Email ,Not Dark Pattern,0,0
"No, I Don't Like Discounts",Misdirection,1,0
B-Series Truck Series,Not Dark Pattern,0,1
 Jersey GBP,Not Dark Pattern,0,0
"After getting my tickets on Monday, I am hooked on CoolHockey. I will surely be buying from CoolHockey from now on.",Not Dark Pattern,0,1
"No Thanks, I Prefer Paying Full Price.",Misdirection,1,0
Fewer than 5 left!,Scarcity,1,0
Only 4 items left in stock.,Scarcity,1,0
BROKEN REMOTE? FIX IT YOURSELF AND SAVE HUGE,Not Dark Pattern,0,0
"No thanks, I dont want a discount",Misdirection,1,0
Toddler Girl Jumpsuits and Rompers,Not Dark Pattern,0,0
SAA Standard Membership - Credit/Debit Card - Automatic Annual Fee,Not Dark Pattern,0,0
ONLY 1 ITEM LEFT!,Scarcity,1,0
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80 ,Urgency,1,0
35% OFF EVERYTHING* ON SALE & BEAUTY ENTER: DOLL35 - HURRY! ENDS IN 16H 59M 06S,Urgency,1,1
 A-Z Luxury Brands ,Not Dark Pattern,0,0
Selling fast! Add to bag 7 times in the last 48 hours.,Social Proof,1,0
 EU Delivery & Returns ,Not Dark Pattern,0,0
"When you place healing crystals in a symmetrical fashion and activate it with a crystal wand, the pattern is charged to send messages to the universe. A healing crystal grid uses sophisticated symmetry for manifestation.",Not Dark Pattern,0,0
"Carol in St. Louis, Missouri bought Original USB Charging Anti-Theft Backpack",Social Proof,1,0
TVs Edit,Not Dark Pattern,0,1
"Due To HIGH Demand, Cart Expires In: 08:41",Urgency,1,0
A very fun outfit for a less formal event like a sangeet! Husband said the bell bottom type pants were fun to dance in :),Not Dark Pattern,0,0
gifts for wife,Not Dark Pattern,0,0
Only 7 left!,Scarcity,1,0
Back Yard Bath Spa,Not Dark Pattern,0,1
Beach Towels & Mats,Not Dark Pattern,0,0
90% offers claimed. Hurry up!,Scarcity,1,0
Hair treatments,Not Dark Pattern,0,0
"No thanks, I pay full price",Misdirection,1,1
Was this product description useful?YesNo,Not Dark Pattern,0,0
(ONLY 1 LEFT IN THIS SIZE!),Scarcity,1,0
 Gameday Collection ,Not Dark Pattern,0,0
 OH SHIP! Looks like that page wasn't found ,Not Dark Pattern,0,0
Shop now. Pay later. Always interest-free,Not Dark Pattern,0,0
 Shop All Lehenga Choli ,Not Dark Pattern,0,0
Transmission and Driveline,Not Dark Pattern,0,0
Hair type: Curly,Not Dark Pattern,0,0
Uncheck the box if you choose not to receive email updates.,Misdirection,1,1
EXTRA -30% OFF WITH CODE: 0 Ends in: 0 0 0 0 days 0 0 4 4 hours . 0 0 9 9 min . 2 2 8 8 sec,Urgency,1,1
"894 Claimed! Hurry, only a few left!",Scarcity,1,0
"Nice choice. Did you know you’re missing out on these deals without the item in your cart. Suit + Shirt + Tie now $599.99* - Shop Suits, Shirts and Ties Or Get 2 Suit Packages for $1100*",Misdirection,1,1
"No thanks, I don't want to save up to 75%",Misdirection,1,0
Only 7 left in stock!,Scarcity,1,0
LIMITED TIME ONLY 10 OFF 50 SPEND NEW CUSTOMERS ONLY - TERMS & CONDITIONS APPLY,Urgency,1,0
Cleaning Brushes & Dirt,Not Dark Pattern,0,1
Fashion Forms,Not Dark Pattern,0,0
$132.90 $99.00,Misdirection,1,0
6 others have already bought this deal today!,Social Proof,1,0
Free People,Not Dark Pattern,0,0
Low Stock – Selling Fast,Scarcity,1,0
Solar Light Canopies,Not Dark Pattern,0,1
 Gift Card FAQs ,Not Dark Pattern,0,0
"No thanks, I like the full price",Misdirection,1,1
Pillowcases & Shams,Not Dark Pattern,0,0
Sara from Philadelphia just spent $68 on her order.,Social Proof,1,1
Cart will expire in 04:53 minutes!,Urgency,1,0
80% offers claimed. Hurry up!,Scarcity,1,0
" This product can expose you to chemicals including Hexavalent which is known to the State of California to cause cancer on birth defects or other reproductive harm. For more information, visit ",Not Dark Pattern,0,0
Free Shipping* Shipping,Not Dark Pattern,0,1
Soft Flexible Materials,Not Dark Pattern,0,1
FREE SHIPPING FOR A LIMITED TIME | PRICES ONLY IN USD AND INCLUDE ALL IMPORT DUTIES.,Urgency,1,1
The product you requested is not available in the selected country,Not Dark Pattern,0,0
✕,Not Dark Pattern,0,0
"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently",Social Proof,1,0
"Get inspiration, new arrivals and the latest news to your inbox.",Not Dark Pattern,0,1
Sunglasses and Eyewear,Not Dark Pattern,0,0
"$3,159.20 $3,949.00 Limited edition only",Urgency,1,1
Card Storage,Not Dark Pattern,0,0
Thin and tough - protects from minor scratches,Not Dark Pattern,0,0
Mom & Baby,Not Dark Pattern,0,0
Limited Time Offer,Urgency,1,0
 Shop Optics > ,Not Dark Pattern,0,0
Down Jackets,Not Dark Pattern,0,0
"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",Social Proof,1,0
Limited Time Only! 20% Off,Urgency,1,0
" This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in. ",Not Dark Pattern,0,0
Father's Day Gifts,Not Dark Pattern,0,0
I am very pleased with the service I received.,Not Dark Pattern,0,0
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,Social Proof,1,0
"Someone in Sasebo, Japan just bought",Social Proof,1,0
Warning: Last items in stock!,Scarcity,1,0
Stock Low : 6 items left.,Scarcity,1,0
About Ruth Hogan,Not Dark Pattern,0,0
Don’t worry. We’ve got your back.,Not Dark Pattern,0,0
read you will want to read -- Five Book Group Reviews * Sunday Post *,Not Dark Pattern,0,1
Only 1 Item Left!,Scarcity,1,0
"No thanks, I don't want to build one.. I'd rather kick rocks!",Misdirection,1,0
Sunglasses & Eyewear,Not Dark Pattern,0,1
 Mobile Terms of Use ,Not Dark Pattern,0,0
"Book picture is for illustrative purposes only, actual binding, cover & edition may vary.",Not Dark Pattern,0,1
161 people have viewed this item,Social Proof,1,0
SRX Remotes,Not Dark Pattern,0,0
"Nice choice. Did you know you’re missing out on great deals with the item in your cart. Suit + Shirt + Tie now $599.99* - Shop Suits, Shirts and Ties Or Get 2 Suit Packages for $1100*",Misdirection,1,1
"No thanks, I'll just pay full price.",Misdirection,1,0
* Limited Trial Offer *\nFREE\nTLPWR1 Test Leads!,Urgency,1,1
ShopClose menu,Not Dark Pattern,0,0
"After trying several other shades of red, I’ve tried this one and just love it. It is the perfect shade of brown with beautiful red highlights, very rich color, and very beautiful.",Not Dark Pattern,0,0
What factors have caused this?,Not Dark Pattern,0,1
HAUTELOOK 04:53 IST,Urgency,1,1
Low in stock: only 2 left.,Scarcity,1,0
 Chair Accessories ,Not Dark Pattern,0,0
Printed Leather Sleeves Casual Blouse For Women,Not Dark Pattern,0,1
lego harry potter,Not Dark Pattern,0,0
"-- Preeti Shenoy, author of THE RULE BOOK",Not Dark Pattern,0,1
Heat plates & Strips,Not Dark Pattern,0,1
The requested page could not be found,Not Dark Pattern,0,0
Countdown,Not Dark Pattern,0,0
Cowgirls Edit,Not Dark Pattern,0,1
Physical Damage Only,Misdirection,1,1
Shop By Fabric,Not Dark Pattern,0,0
Icon MTB Socks - Black/Green,Not Dark Pattern,0,0
"Limited quantities only: FREE SHIPPING on all orders, no minimum required!",Urgency,1,1
"Plant TypeFlowers, Cakes, Plants, etc.",Not Dark Pattern,0,1
Product Tagline,Not Dark Pattern,0,0
LAST CHANCE SET UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,Urgency,1,1
About UsNews & Entertainment,Not Dark Pattern,0,1
Loading,Not Dark Pattern,0,0
Sellout risk:,Scarcity,1,0
Synthesis E-MTB Alloy Rear plate,Not Dark Pattern,0,1
Subscribe & Save,Misdirection,1,0
"We combined powerful, yet gentle acne-fighting ingredients with our own unique plant-based complexes to help reduce irritation and redness associated with acne and breakouts. The result? Skin that’s nourished, smooth, and most importantly, clear!",Not Dark Pattern,0,0
Only 2 units left in stock,Scarcity,1,0
"Armin Dinovic bought 10M Runescape 3 Gold Order total: 3,70€ About 10 years ago",Social Proof,1,1
I'D RATHER PAY FULL PRICE,Misdirection,1,0
8 people have this in their bag right now.,Social Proof,1,0
23% left in stock!,Scarcity,1,0
Cellular/Honeycomb Shades,Not Dark Pattern,0,0
Upright Plants,Not Dark Pattern,0,0
Authenticity Guaranteed,Not Dark Pattern,0,0
"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",Social Proof,1,0
Over 200 views in 24 hrs,Social Proof,1,0
LOW STOCK: Only 1 left.,Scarcity,1,0
 Bar Stools,Not Dark Pattern,0,0
Made in Egypt bought,Social Proof,1,1
Only A Few Left,Scarcity,1,0
Click and Collect T&C,Not Dark Pattern,0,0
"Nah, I like the full price",Misdirection,1,1
339 users are currently active on our website,Social Proof,1,0
"No, thank you. I prefer to pay the full price",Misdirection,1,0
Limited-time Deal,Scarcity,1,0
"No Thanks, I'll Pay Full Payment",Misdirection,1,1
Next day 08:15:25,Urgency,1,1
"No thanks, I'm not interested in saving money.",Misdirection,1,0
ONLY 5 LEFT!,Scarcity,1,0
Only a few left of this product!,Scarcity,1,0
On Sale! Limited Time Offer!,Urgency,1,0
 Unstitched Fabric ,Not Dark Pattern,0,0
 United States ,Not Dark Pattern,0,0
LIMITED OFFER: $125 Off + 2 Free Pillows,Urgency,1,0
Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired),Social Proof,1,0
HOT PRODUCT Over 250 people are looking at this item.,Social Proof,1,0
" Mystic Topaz: Rings, Earrings, Necklaces and Bracelets ",Not Dark Pattern,0,0
Order in 14:53 to get 2 pillows for free,Urgency,1,0
Speed Lace Accessory Kit - Orange,Not Dark Pattern,0,0
19 people viewed this video per day,Social Proof,1,1
Switchers,Not Dark Pattern,0,0
Your cart is reserved for 14:57 minutes!,Urgency,1,0
"No thanks, I'll still want to pay full refund",Misdirection,1,1
Shoe Care Products,Not Dark Pattern,0,1
Only one item left in stock!,Scarcity,1,0
 WWE New Arrivals ,Not Dark Pattern,0,0
 Teething Remedies ,Not Dark Pattern,0,0
 Light Blue Regular Fit Single Cuff Easy Care Shirt ,Not Dark Pattern,0,0
"Security is our top priority. Our subscription payments are powered by Stripe and ReCharge, processed in a secure PCI-compliant environment to the highest industry standards. Ketolent staff never know your credit card number.",Not Dark Pattern,0,0
"When you visit any website, it may store or retrieve information on your browser, mostly in the form of cookies. This information might be about you, your preferences or your device and is mostly used to make the site work as you expect it to. The information does not usually directly identify you, but it can give you a more personalized web experience. Because we respect your right to privacy, you can choose not to allow some types of cookies. Click on the different category headings to find out more and change our default settings. However, blocking some types of cookies may impact your experience of the site and the services we are able to offer. ",Not Dark Pattern,0,0
ONLY 3 LEFT IN STOCK.,Scarcity,1,0
Product Info,Not Dark Pattern,0,0
We're offline,Not Dark Pattern,0,0
Livefood Subscription Plans,Not Dark Pattern,0,1
Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,Social Proof,1,0
1 person is looking at this item.,Social Proof,1,0
__________ </s>,Not Dark Pattern,0,1
Exotic Bird Food,Not Dark Pattern,0,0
"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",Social Proof,1,0
SAVE $300.00\nfor limited time,Urgency,1,0
Cowgirls,Not Dark Pattern,0,0
"Debby in Harpers Ferry, United States just bought: Icing Pen Decorating Tool",Social Proof,1,0
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Social Proof,1,0
LIMITED TIME OFFER : Grab a Matching Pair & save yourself 60%!,Misdirection,1,1
 Eyelashes ,Not Dark Pattern,0,0
"No thanks, I don't want a free gift.",Misdirection,1,0
 MIN Twins ,Not Dark Pattern,0,0
"Both of these jerseys are awesome, I couldn’t have asked for better quality.",Not Dark Pattern,0,0
Screen print graphics,Not Dark Pattern,0,0
 Payment Methods ,Not Dark Pattern,0,0
Retro Cordless Edison Electric Lamp,Not Dark Pattern,0,1
In cluded users' carts 59,Social Proof,1,1
"Check your orders, in-store quotes & more",Not Dark Pattern,0,0
"No Thanks, I rather pay full refund",Misdirection,1,1
LEGO Sondersets Saison Polybags Promotionals ExklusiveOpens in a new window or tab,Not Dark Pattern,0,0
Deals of the Week,Not Dark Pattern,0,0
"No thanks, I don't want to look my best",Misdirection,1,0
Tapestry Guide,Not Dark Pattern,0,0
LAST 1 LEFT,Scarcity,1,0
Cincinnati Bengals T-Shirts,Not Dark Pattern,0,0
 Glow Gear ,Not Dark Pattern,0,0
CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map,Not Dark Pattern,0,0
Limited Time Offers,Urgency,1,0
25% OFF* ENDS IN 00 : 00 : 27 : 15 DAYS HRS. MIN. SEC.,Urgency,1,1
 Italy € EUR ,Not Dark Pattern,0,0
 TERMS OF SALE ,Not Dark Pattern,0,0
Jewelry Care Kit,Not Dark Pattern,0,0
Shop All Starter Kits,Not Dark Pattern,0,1
FilterSortFeaturedPrice: Low to HighPrice: High to LowAlphabetical: A-ZAlphabetical: Z-A,Not Dark Pattern,0,0
Selling fast!,Scarcity,1,0
2day 13:49:51 IST,Urgency,1,1
"HURRY, ORDER WITHIN 16h 59m 06s TO GET 35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: FREE",Urgency,1,1
 Active Filters English (United States) English (United States) ✘ Remove Filter ,Not Dark Pattern,0,0
In Stock Only 5 left!,Scarcity,1,0
Flat Iron Bars,Not Dark Pattern,0,1
"No, thanks, I´d rather read more",Misdirection,1,1
 Drive and Focus ,Not Dark Pattern,0,0
Only 5 left,Scarcity,1,0
"Don't snooze, only 1 left",Scarcity,1,0
Epilepsy Safe Profile: this profile enables people with epilepsy to safely use the website by eliminating the risk of seizures resulting from flashing or blinking animations and risky color combinations.,Not Dark Pattern,0,0
 View All Mattress Accessories ,Not Dark Pattern,0,0
 Businesses in the EU buying from a business in the same country are also charged VAT.,Not Dark Pattern,0,0
Limited Time Only · Online Only,Urgency,1,0
John Boos zek,Not Dark Pattern,0,1
Other Items On The Offer:,Misdirection,1,1
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,Urgency,1,0
"Size low on stock, only 1 item left",Scarcity,1,0
Patch Patch System,Not Dark Pattern,0,1
 Bioactive Custodians ,Not Dark Pattern,0,0
Trending now! Added to basket 490 times today,Social Proof,1,0
Menu Search Results,Not Dark Pattern,0,1
7 customers have this in their arsenal,Social Proof,1,1
Only 1 Item(s) left,Scarcity,1,0
Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,Social Proof,1,0
Protect Your Gear,Misdirection,1,0
RegionBracket Right,Not Dark Pattern,0,0
GlassGuard Warranty Do not fear breaking your glass! Add our comprehensive warranty policy for just $3.85 and we'll insure this purchase.,Misdirection,1,1
85 have it in their cart,Social Proof,1,0
"Metal - Brass , hollow from inside ",Not Dark Pattern,0,0
Bioactive Custodians Edit,Not Dark Pattern,0,1
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",Social Proof,1,0
We are currently accepting and processing orders from following:,Not Dark Pattern,0,0
Toe Ring,Not Dark Pattern,0,0
I WANT TO PAY MORE LATER ;),Misdirection,1,0
Other Promotions,Not Dark Pattern,0,0
Only 3 Left In Stock,Scarcity,1,0
5 LEFT,Scarcity,1,0
"No Thanks, I like paying full price.",Misdirection,1,0
"Only 5 left , In Stock",Scarcity,1,0
"Order soon, only 1 left!",Scarcity,1,0
"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",Social Proof,1,0
These pieces are not yet in stock but will be shipped as soon as they are available. The estimated ship date will be noted on the product page.,Not Dark Pattern,0,0
LOW STOCK (ONLY 10 LEFT!),Scarcity,1,0
23 People viewing this product,Social Proof,1,0
 Baby & Toddler Toys ,Not Dark Pattern,0,0
Wallets Edit,Not Dark Pattern,0,1
3 PEOPLE VIEWING,Social Proof,1,0
LIMITED TIME ONLY,Urgency,1,0
Hurry up! Sales Increase in DAYS HRS MINS SECS by Beeketing,Urgency,1,1
2 items left,Scarcity,1,0
ONLY 20 LEFT IN STOCK,Scarcity,1,0
"We are one of the best online printing technology & solution company successfully serving local and international customers to cherish the joy, love and precious moments in life with various products. Being an instrument to spread your joy and love in a beautiful way we take pride in providing the best quality services. ",Not Dark Pattern,0,0
SELLING FAST! GET 10% OFF THIS ITEM. ACTIVATE NOW.,Scarcity,1,0
 Best Deals of the Month: April Edition ,Not Dark Pattern,0,0
 View all Ink categories ,Not Dark Pattern,0,0
Only 5 left in stock,Scarcity,1,0
Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,Social Proof,1,0
 Laundry & Cleaning ,Not Dark Pattern,0,0
"Someone in DOVER, United States just bought Crew 15 mins ago",Social Proof,1,0
LIMITED TIME OFFER MEN'S CHINOS & 5-POCKET PANTS BUY 2 FOR $59.90 EACH SHOP NOW,Urgency,1,0
 Upcoming Events ,Not Dark Pattern,0,0
Golf Shop,Not Dark Pattern,0,0
Loading interface...,Not Dark Pattern,0,0
