String,Type,label,predicate,prom_score_consistency,prom_feedback,prom_ok
Nursery,Not Dark Pattern,0,,,,False
Lack Of Color,Not Dark Pattern,0,,,,False
Mitre Saws,Not Dark Pattern,0,,,,False
High Arches,Not Dark Pattern,0,,,,False
Wall Mounted Air Conditioners,Not Dark Pattern,0,,,,False
00DAYS07HOURS09MINUTES39SECONDS,Urgency,1,Countdown Timers,3.0,"Upon examining the provided response and the score rubric, it is evident that the response has merits in correctly identifying the text as a countdown timer, adhering to the type definition and the predicate's definition. However, the response could have been more detailed by explaining why the text fits the specific predicate within the urgency type, which would have been a strong point. 

Although the response fulfills the requirement to some extent, it does not provide the clear, in-depth evidence that is necessary to score a 5. The evidence provided is somewhat general and does not explicitly link the text to the urgency type or the specific predicate, which could lead to ambiguity or partial validity.

Therefore, the response falls short of providing a comprehensive argument for the text fitting the urgency type and the countdown timer predicate. However, it does make a valid point, showing partial understanding of the rubric's criteria. Thus, it could be improved by adding more detailed explanations and evidence to support the claims made. So the overall score is 3. [RESULT] 3",True
00DAYS07HOURS09MINUTES39SECONDS,Urgency,1,Countdown Timers,3.0,"Upon examining the provided response and the score rubric, it is evident that the response has merits in correctly identifying the text as a countdown timer, adhering to the type definition and the predicate's definition. However, the response could have been more detailed by explaining why the text fits the specific predicate within the urgency type, which would have been a strong point. 

Although the response fulfills the requirement to some extent, it does not provide the clear, in-depth evidence that is necessary to score a 5. The evidence provided is somewhat general and does not explicitly link the text to the urgency type or the specific predicate, which could lead to ambiguity or partial validity.

Therefore, the response falls short of providing a comprehensive argument for the text fitting the urgency type and the countdown timer predicate. However, it does make a valid point, showing partial understanding of the rubric's criteria. Thus, it could be improved by adding more detailed explanations and evidence to support the claims made. So the overall score is 3. [RESULT] 3",True
00DAYS07HOURS09MINUTES39SECONDS,Urgency,1,Countdown Timers,3.0,"Upon examining the provided response and the score rubric, it is evident that the response has merits in correctly identifying the text as a countdown timer, adhering to the type definition and the predicate's definition. However, the response could have been more detailed by explaining why the text fits the specific predicate within the urgency type, which would have been a strong point. 

Although the response fulfills the requirement to some extent, it does not provide the clear, in-depth evidence that is necessary to score a 5. The evidence provided is somewhat general and does not explicitly link the text to the urgency type or the specific predicate, which could lead to ambiguity or partial validity.

Therefore, the response falls short of providing a comprehensive argument for the text fitting the urgency type and the countdown timer predicate. However, it does make a valid point, showing partial understanding of the rubric's criteria. Thus, it could be improved by adding more detailed explanations and evidence to support the claims made. So the overall score is 3. [RESULT] 3",True
More Info,Not Dark Pattern,0,,,,False
What's New By Category,Not Dark Pattern,0,,,,False
Explore The NRA Universe Of Websites,Not Dark Pattern,0,,,,False
Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,Social Proof,1,Activity Notifications,1.0,"In reviewing the response to determine whether the text fits the given predicate of Social Proof, we can clearly see that the model has selected the predicate of ""Activity Notifications."" However, the reasoning provided for this choice is lacking in clarity and evidence. The response fails to provide the necessary rationale that links the text to the concept of social proof, which typically involves cues that others are acting or have made choices. In the context of this text, which merely states a purchase event, there is no direct evidence or interpretation that relates to influencing behavior or undermining independent decision-making, as required by the score rubric. While the activity of purchasing could be seen as a general cue of social engagement, the response does not delve into this implication and lacks specificity, thus making the selection of the predicate questionable. Without concrete reasoning or explicit connections drawn between the text and the predicate of Social Proof, the response is insufficient. Therefore, considering the score rubric criteria of evidence validity, this response fails to meet the requirements for a high score. 
[RESULT] 1",True
Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,Social Proof,1,Activity Notifications,1.0,"In reviewing the response to determine whether the text fits the given predicate of Social Proof, we can clearly see that the model has selected the predicate of ""Activity Notifications."" However, the reasoning provided for this choice is lacking in clarity and evidence. The response fails to provide the necessary rationale that links the text to the concept of social proof, which typically involves cues that others are acting or have made choices. In the context of this text, which merely states a purchase event, there is no direct evidence or interpretation that relates to influencing behavior or undermining independent decision-making, as required by the score rubric. While the activity of purchasing could be seen as a general cue of social engagement, the response does not delve into this implication and lacks specificity, thus making the selection of the predicate questionable. Without concrete reasoning or explicit connections drawn between the text and the predicate of Social Proof, the response is insufficient. Therefore, considering the score rubric criteria of evidence validity, this response fails to meet the requirements for a high score. 
[RESULT] 1",True
Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,Social Proof,1,Activity Notifications,1.0,"In reviewing the response to determine whether the text fits the given predicate of Social Proof, we can clearly see that the model has selected the predicate of ""Activity Notifications."" However, the reasoning provided for this choice is lacking in clarity and evidence. The response fails to provide the necessary rationale that links the text to the concept of social proof, which typically involves cues that others are acting or have made choices. In the context of this text, which merely states a purchase event, there is no direct evidence or interpretation that relates to influencing behavior or undermining independent decision-making, as required by the score rubric. While the activity of purchasing could be seen as a general cue of social engagement, the response does not delve into this implication and lacks specificity, thus making the selection of the predicate questionable. Without concrete reasoning or explicit connections drawn between the text and the predicate of Social Proof, the response is insufficient. Therefore, considering the score rubric criteria of evidence validity, this response fails to meet the requirements for a high score. 
[RESULT] 1",True
Be the first to get updates as well as access to exclusive offers and promotions,Not Dark Pattern,0,,,,False
"Products are automatically delivered on your schedule. No obligation, modify or cancel your subscription anytime.",Not Dark Pattern,0,,,,False
All Womens Accessories,Not Dark Pattern,0,,,,False
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Social Proof,1,Activity Notifications,4.0,"The model successfully identifies the text as ""Activity Notifications"", which aligns with the predicate definition for social proof. The model also includes observable cues as evidence, which is in line with the score rubric criteria of predicate validity. However, the score rubric does not explicitly mention the use of observable cues in determining the validity of the predicate. Although the model uses cues, the criteria of strong validation with clear evidence are not fully met, as the model does not elaborate on what the observable cues are or how they relate to the text. In contrast, a response that would score a 5 provides a direct link between the text and the specific definition of the predicate, outlining why the text fits the predicate definition. This response gives a complete explanation of the text fitting the predicate, which is the reason for scoring it a 5. As such, the score for the response in this case is 4, as it meets the criteria of the rubric to some extent, but not comprehensively. 
[RESULT] 4",True
"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",Misdirection,1,Pressured Selling,1.0,"The response is incorrect in identifying the predicate for this text. It mentions ""Pressured Selling"" which is not aligned with the ""Misdirection"" type, as the text does not attempt to pressure users to buy a more expensive product. Instead, it seems to highlight the compatibility and use of certain products.

Moreover, the response lacks any evidence or explanation to support the chosen predicate, as the score rubric emphasizes the need for clear and convincing evidence to validate a predicate.

Given that there is no relevant evidence and the response does not correctly apply the type definition for ""Misdirection,"" the response does not meet the criteria for validity and thus cannot be deemed a high-quality assessment.

Therefore, based on the provided criteria and rubric, the response fails to adequately address the text and identify the correct predicate. 
[RESULT] 1",True
I'LL PAY FULL PRICE,Misdirection,1,Confirmshaming,5.0,"When evaluating the response according to the score rubric, it is evident that the chosen predicate, ""Confirmshaming,"" is aligned with the score rubric's requirements. The response accurately recognizes and defines the predicate, which involves using shame or emotional language to influence a person's choice. The provided evidence is subtle but effective; it demonstrates how the text might create an atmosphere of pressure or discouragement, possibly implying the user's choice should not be taken lightly due to the financial implications of the option. This nuanced interpretation is consistent with the definition of ""Confirmshaming"" and provides a plausible connection between the text and the predicate. Therefore, based on the provided criteria, the response is valid and contains clear evidence supporting its conclusion. This validation of the chosen predicate, along with the accurate identification of the predicate itself, solidifies its alignment with the score rubric, thus warranting a score of 5. 
[RESULT] 5",True
I'LL PAY FULL PRICE,Misdirection,1,Confirmshaming,5.0,"When evaluating the response according to the score rubric, it is evident that the chosen predicate, ""Confirmshaming,"" is aligned with the score rubric's requirements. The response accurately recognizes and defines the predicate, which involves using shame or emotional language to influence a person's choice. The provided evidence is subtle but effective; it demonstrates how the text might create an atmosphere of pressure or discouragement, possibly implying the user's choice should not be taken lightly due to the financial implications of the option. This nuanced interpretation is consistent with the definition of ""Confirmshaming"" and provides a plausible connection between the text and the predicate. Therefore, based on the provided criteria, the response is valid and contains clear evidence supporting its conclusion. This validation of the chosen predicate, along with the accurate identification of the predicate itself, solidifies its alignment with the score rubric, thus warranting a score of 5. 
[RESULT] 5",True
Free Shipping On Orders Over $49* - Limited Time Only,Urgency,1,Limited-time Messages,1.0,"The score rubric defines the urgency predicate as claims that a deal or sale will end 'soon' without providing a clear deadline. The provided text, ""Free Shipping On Orders Over $49* - Limited Time Only,"" clearly states a deadline in the text, which directly contradicts the definition of the urgency predicate. The presence of a clear deadline in the text demonstrates a lack of urgency, and hence, the evidence presented does not meet the criteria of the score rubric for an urgency message. Therefore, the model-chosen predicate is incorrect, and the score should be 1, since the response failed to identify a legitimate urgency message in the text. 
[RESULT] 1",True
Free Shipping On Orders Over $49* - Limited Time Only,Urgency,1,Limited-time Messages,1.0,"The score rubric defines the urgency predicate as claims that a deal or sale will end 'soon' without providing a clear deadline. The provided text, ""Free Shipping On Orders Over $49* - Limited Time Only,"" clearly states a deadline in the text, which directly contradicts the definition of the urgency predicate. The presence of a clear deadline in the text demonstrates a lack of urgency, and hence, the evidence presented does not meet the criteria of the score rubric for an urgency message. Therefore, the model-chosen predicate is incorrect, and the score should be 1, since the response failed to identify a legitimate urgency message in the text. 
[RESULT] 1",True
Free Shipping On Orders Over $49* - Limited Time Only,Urgency,1,Limited-time Messages,1.0,"The score rubric defines the urgency predicate as claims that a deal or sale will end 'soon' without providing a clear deadline. The provided text, ""Free Shipping On Orders Over $49* - Limited Time Only,"" clearly states a deadline in the text, which directly contradicts the definition of the urgency predicate. The presence of a clear deadline in the text demonstrates a lack of urgency, and hence, the evidence presented does not meet the criteria of the score rubric for an urgency message. Therefore, the model-chosen predicate is incorrect, and the score should be 1, since the response failed to identify a legitimate urgency message in the text. 
[RESULT] 1",True
"touching, funny and romantic",Not Dark Pattern,0,,,,False
Rs INR,Not Dark Pattern,0,,,,False
Real time 30 Visitor right now,Social Proof,1,Activity Notifications,5.0,"The response correctly identifies the text as ""Activity Notifications,"" which is a strong fit to the provided definition. This type of notification serves to mimic social behavior and encourage immediate action. The cue in the text (""Real time 30 Visitor right now"") effectively portrays an active online environment, enticing users to engage or consider the product or service offered. 

The text does not contain explicit exaggeration, but it does leverage the principle of social proof by implying that many others are currently interacting with the platform, thereby influencing user behavior. The absence of direct fabrication is why the response falls short of a perfect score, as a text including more clear-cut manipulation of facts would be more in line with a fabricated social proof message. 

Despite this, the response clearly demonstrates the ability to recognize and label a text as fitting a specific predicate, thus fulfilling the criteria outlined in the score rubric. So the overall score is 5. [RESULT] 5",True
New In,Not Dark Pattern,0,,,,False
"Hurry, only 6 left in stock!",Scarcity,1,Low-stock Messages,5.0,"The response demonstrates a strong understanding of the given task, as it correctly identifies the predicate and provides clear evidence to support this identification. It also explains the reason behind this choice, which aligns well with the task description that asks for a text that fits the 'Low-stock Messages' predicate. The response effectively fulfills the requirements of the score rubric by presenting a convincing argument that validates the chosen predicate with clear evidence. This approach of identifying the correct predicate and providing strong evidence to support this choice clearly satisfies the scoring criteria, which seeks a strong validation of the predicate with clear evidence. Therefore, the response is highly effective in meeting the criteria for a score of 5. 
[RESULT] 5",True
Brown Dresses,Not Dark Pattern,0,,,,False
Shop By Shape,Not Dark Pattern,0,,,,False
Add and save!,Misdirection,1,Trick Questions,1.0,"Based on the score rubric, the given response does not provide clear evidence or a solid reasoning for the text being categorized under the predicate of ""Trick Questions"". The evidence mentioned is not directly related to the predicate and the response lacks depth in the explanation. Furthermore, it fails to explain how the text's ""add and save"" prompts the user to make unintended choices, which is a key component of the misdirection type. The response is more ambiguous rather than showing strong validity. Hence, based on the criteria provided, this response is not robust enough to merit a higher score. So the overall score is 1. [RESULT] 1",True
Add and save!,Misdirection,1,Trick Questions,1.0,"Based on the score rubric, the given response does not provide clear evidence or a solid reasoning for the text being categorized under the predicate of ""Trick Questions"". The evidence mentioned is not directly related to the predicate and the response lacks depth in the explanation. Furthermore, it fails to explain how the text's ""add and save"" prompts the user to make unintended choices, which is a key component of the misdirection type. The response is more ambiguous rather than showing strong validity. Hence, based on the criteria provided, this response is not robust enough to merit a higher score. So the overall score is 1. [RESULT] 1",True
Add and save!,Misdirection,1,Trick Questions,1.0,"Based on the score rubric, the given response does not provide clear evidence or a solid reasoning for the text being categorized under the predicate of ""Trick Questions"". The evidence mentioned is not directly related to the predicate and the response lacks depth in the explanation. Furthermore, it fails to explain how the text's ""add and save"" prompts the user to make unintended choices, which is a key component of the misdirection type. The response is more ambiguous rather than showing strong validity. Hence, based on the criteria provided, this response is not robust enough to merit a higher score. So the overall score is 1. [RESULT] 1",True
"Oscar from Cajamarca, Peru purchased",Social Proof,1,Activity Notifications,5.0,"The response demonstrates a strong understanding of the specific predicate by correctly identifying ""Activity Notifications"" as the type of social proof that the given text fits. This is evident by the provided observable cues which effectively mirror the form of activity notifications. The evidence is clear and directly relevant to the social proof mechanism, which creates the perception that others are already acting and thereby influencing the user's behavior. The text is correctly observed as a signal that a recent purchase was made, which directly corresponds to the common format of activity notifications and thus meets the requirements set by the score rubric. So the overall score is 5. [RESULT] 5",True
GeekVape Pursue a Healthy Vaping Experience,Not Dark Pattern,0,,,,False
"2,221 people have purchased this item",Social Proof,1,Activity Notifications,4.0,"When evaluating the response, the focus should be on how well the chosen predicate fits the given text and the explanation that supports the choice. The provided text fits the definition of Activity Notifications, which involves messages designed to induce immediate action. The predicate, therefore, aligns with the instruction's requirement for Social Proof, which is about leveraging social cues to influence behavior. The model's explanation of observable cues is a good attempt, though it could be clearer in its reasoning to reinforce the validity of the choice. It's important to note that while the model correctly identifies the predicate, the strength of the evidence provided is not as robust as it could be. This minor issue with the clarity and strength of the evidence means that the response does not achieve the highest score. So the overall score is 4. [RESULT] 4",True
[new-troh-pick],Not Dark Pattern,0,,,,False
New In Lunch Boxes,Not Dark Pattern,0,,,,False
All consumers in the EU are charged VAT on the purchase of goods and services.,Not Dark Pattern,0,,,,False
"No thanks, I don't like saving money",Misdirection,1,Confirmshaming,5.0,"Based on the given text, it demonstrates a use of shame to discourage a certain action, specifically saving money. The phrase ""I don't like saving money"" can be interpreted as self-deprecating, which may be considered an attempt to create a sense of guilt or inadequacy around the idea of saving money. This could potentially discourage others from following a similar approach. Therefore, the response aligns with the predicate definition, which is to use shame or emotional wording to discourage a certain choice. The use of observable cues, although not explicitly mentioned, is implicitly referenced in the assertion that the text contains elements of confirmation bias, hence supporting the score of 5. So the overall score is 5. [RESULT] 5",True
"No thanks, I don't like saving money",Misdirection,1,Confirmshaming,5.0,"Based on the given text, it demonstrates a use of shame to discourage a certain action, specifically saving money. The phrase ""I don't like saving money"" can be interpreted as self-deprecating, which may be considered an attempt to create a sense of guilt or inadequacy around the idea of saving money. This could potentially discourage others from following a similar approach. Therefore, the response aligns with the predicate definition, which is to use shame or emotional wording to discourage a certain choice. The use of observable cues, although not explicitly mentioned, is implicitly referenced in the assertion that the text contains elements of confirmation bias, hence supporting the score of 5. So the overall score is 5. [RESULT] 5",True
"Skin Concerns: Treats mild to moderate acne (including whiteheads, blackheads, pimples, and hormonal acne) and excess oiliness.",Not Dark Pattern,0,,,,False
Optics and Mounts,Not Dark Pattern,0,,,,False
Last 1 left,Scarcity,1,Low-stock Messages,5.0,"The model has correctly identified and chosen a relevant predicate for the given text. This indicates a strong understanding of the 'Scarcity' type. It also demonstrates the model's ability to apply this understanding to identify the specific predicate 'Low-stock Messages'. The model supports its choice with observable cues, further strengthening its argument. 

The model has applied the definition of the 'Scarcity' type accurately, recognizing that the text creates an impression of limited availability. It aligns this interpretation with the specific 'Low-stock Messages' predicate. The fact that the model doesn't exaggerate or fabricate the evidence suggests a nuanced understanding of the 'Scarcity' type, adhering closely to the definitions.

The clarity of the model's reasoning and evidence, coupled with its accurate choice of predicate, justifies a score of 5 according to the score rubric. Therefore, based on the evaluation criteria of the rubric, the response is well-constructed and meets the expectations for a top-scoring response. 
[RESULT] 5",True
No thanks. I don’t want to save money.,Misdirection,1,Confirmshaming,1.0,"The response does not provide any reasoning or explanation behind the chosen predicate of 'Confirmshaming'. The mere mention of 'Confirmshaming' does not adhere to the scoring rubric, as it lacks a supporting argument or evidence to justify the label. There is no demonstration of how the text exhibits characteristics of confirmshaming, leaving the response incomplete and not fulfilling the rubric's requirement for strong validation with clear evidence. Furthermore, there is no clear attempt to relate the provided text to the predicate, which could have provided an argument for its suitability. So, the score is 1 as the response does not validate the chosen predicate with observable cues or any supporting reasoning. 
[RESULT] 1",True
No thanks. I don’t want to save money.,Misdirection,1,Confirmshaming,1.0,"The response does not provide any reasoning or explanation behind the chosen predicate of 'Confirmshaming'. The mere mention of 'Confirmshaming' does not adhere to the scoring rubric, as it lacks a supporting argument or evidence to justify the label. There is no demonstration of how the text exhibits characteristics of confirmshaming, leaving the response incomplete and not fulfilling the rubric's requirement for strong validation with clear evidence. Furthermore, there is no clear attempt to relate the provided text to the predicate, which could have provided an argument for its suitability. So, the score is 1 as the response does not validate the chosen predicate with observable cues or any supporting reasoning. 
[RESULT] 1",True
NRA Firearms For Freedom,Not Dark Pattern,0,,,,False
"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated",Social Proof,1,Activity Notifications,1.0,"The response provides a predicate of ""Activity Notifications"" for the given text. However, there is a lack of evidence or reasoning to support this predicate choice. The instruction does not mention any particular predicate, which indicates a need for strong evidence in the response. Furthermore, the text doesn't contain any elements of social proof or notification of activity, which would be expected based on the score rubric's description of social proof as exploiting social cues to influence behavior. Therefore, the response is unsupported and fails to meet the criteria of the score rubric. 

While the response attempts to adhere to the task, it does not present a convincing argument or evidence that the chosen predicate fits the text. Thus, according to the score rubric, this response does not fulfill the criteria of being ""strongly valid with clear evidence"" as it neither validates the predicate nor presents clear evidence to support its choice. Hence, it falls short in the score rubric. 

The lack of evidence and failure to link the text to social proof is a significant shortfall in the response. As per the rubric, it is necessary to provide strong evidence that supports the chosen predicate. In this case, the response fails to provide such evidence. This results in a lower score due to the inability to meet the criteria outlined in the rubric. 

Therefore, the overall score for this response is 1. 
[RESULT] 1",True
