predicate,cluster_id,canonical_norm,canonical_example,collapsed_count,num_variations,Type
Activity Notifications,43,james from colonia purchase a,James from Colonia purchased a,2,1,Social Proof
Activity Notifications,44,james in cashion oklahoma just bought glossy black brick geode amber gradient fast lanes,"James in Cashion, Oklahoma just bought Glossy Black Brick Geode / Amber Gradient Fast Lanes",2,1,Social Proof
Activity Notifications,45,jamie in nashville united states purchased,"Jamie in Nashville, United States purchased",2,1,Social Proof
Activity Notifications,46,jeremy in stockton united states purchase a,"Jeremy in Stockton, United States purchased a",2,1,Social Proof
Activity Notifications,47,jeremy in warroad united states purchase a,"Jeremy in Warroad, United States purchased a",2,1,Social Proof
Activity Notifications,48,jim in houston usa purchase pure ratios hemp oil cbd patch <num> mg cbd,"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",2,1,Social Proof
Activity Notifications,49,joe m from bought a cartoon caterpillar rigged <num> d model recently,"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently",2,1,Social Proof
Activity Notifications,50,jonathan in syracuse united states just bought electric skateboard battery pack <num> v <num> s <num> p <num> hours ago,"Jonathan in Syracuse, United States just bought Electric Skateboard Battery Pack 36V 10S2P 4 hours ago",2,1,Social Proof
Activity Notifications,51,kamal in lathrop united states purchase a father sons super slim stretch feather print long sleeve - fs <num> <num> hours ago,"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",2,1,Social Proof
Activity Notifications,52,keith in champaign illinois bought mini usb audio cassette to mp <num> converterabout <num> minutes ago,"Keith in Champaign, Illinois bought Mini USB Audio Cassette to MP3 Converterabout 56 minutes ago",2,1,Social Proof
Activity Notifications,53,ken in three bridges united states purchase all zebrawood olive ash,"Ken in Three Bridges, United States purchased All Zebrawood + Olive Ash",2,1,Social Proof
Activity Notifications,54,estiven in deer park united states purchase prewash <num> oz,"estiven in Deer Park, United States purchased PreWash™ 4 oz",2,1,Social Proof
Activity Notifications,55,don t miss out we ve sold <num> in the last few days,Don't miss out! We've sold 38 in the last few days.,2,1,Social Proof
Activity Notifications,56,leah rich in louisville united states purchase a,"Leah Rich in Louisville, United States purchased a",2,1,Social Proof
Activity Notifications,57,last purchase at <num> <num> am today,Last purchased at 11:19am today.,2,1,Social Proof
Activity Notifications,58,<num> added to bag in the last <num> hrs,43 added to bag in the last 48hrs,2,1,Social Proof
Activity Notifications,59,rebecca in buffalo just bought sateen twill swatchabout <num> hour ago,Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,2,1,Social Proof
Activity Notifications,60,someone in kilwinning united kingdom just bought cuban link chain bracelet,"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",2,1,Social Proof
Activity Notifications,61,someone in new lynn bought a kogan a <num> earphones with inline control for ios android <num> hour ago,Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,2,1,Social Proof
Activity Notifications,62,someone in petaling jaya malaysia just bought sneakerguard midsole paint marker - boost white,"Someone in Petaling Jaya, Malaysia just bought SNEAKERGUARD Midsole Paint Marker - BOOST White",2,1,Social Proof
Activity Notifications,63,someone in red cliffs bought a rhk yamaha yz yzf wrf <num> - <num> blue pursuit footpegs <num> minutes ago,Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,2,1,Social Proof
Activity Notifications,64,someone in saint kilda victoria purchase frank queen size bed base,"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",2,1,Social Proof
Activity Notifications,65,someone in san diego united states just bought gemfield watch <num> days ago,"Someone in San diego, United States just bought Gemfield Watch 15 days ago",2,1,Social Proof
Activity Notifications,66,someone in shelby twp united states just bought galaxy note <num> <num> mah zeroshock battery case <num> days ago,"Someone in Shelby twp, United States just bought Galaxy Note 8 10000mAh ZeroShock Battery Case 3 days ago",2,1,Social Proof
Activity Notifications,67,someone in spain purchased,Someone in Spain purchased,2,1,Social Proof
Activity Notifications,68,someone in united states just purchase a,Someone in United States just purchased a,2,1,Social Proof
Activity Notifications,69,someone in vancouver washington purchase a orthofeet men s orthotic insoles about <num> minutes,"Someone in Vancouver, Washington purchased a Orthofeet Men's Orthotic Insoles about 38 minutes",2,1,Social Proof
Activity Notifications,70,someone in keilor east bought a piranta-edge skinning knife - blaze - havalon knives <num> minutes ago,Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,2,1,Social Proof
Activity Notifications,71,someone in yanchep bought a <num> mm mechanical performance boost gauge - blue white <num> seconds ago,Someone in Yanchep bought a 52mm Mechanical 'Performance' Boost Gauge - Blue/White 9 seconds ago,2,1,Social Proof
Activity Notifications,72,son in suisun city united states purchase commander lex,"Son in Suisun City, United States purchased Commander Lex",2,1,Social Proof
Activity Notifications,73,stacey in saint marys united states purchase extra long <num> ft fiber cloth sync charge usb android cable - assorted colors about <num> minutes ago,"Stacey in Saint Marys, United States purchased Extra Long (10 Ft) Fiber Cloth Sync & Charge USB Android Cable - Assorted Colors about 30 minutes ago",2,1,Social Proof
Activity Notifications,74,synne kristine in halden bought classic bokksu subscription billed every <num> month ships every <num> months about <num> minutes ago,"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",2,1,Social Proof
Activity Notifications,75,this is in <num> other carts,This is in 5 other carts.,2,1,Social Proof
Activity Notifications,76,this product has been view <num> times in the last <num> hours,THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,2,1,Social Proof
Activity Notifications,77,this product was view <num> seconds ago by someone from princeton,This product was viewed 26 seconds ago by someone from Princeton,2,1,Social Proof
Activity Notifications,78,trending style sold <num> times today,Trending Style! Sold 4 times today,2,1,Social Proof
Activity Notifications,79,trey in sparta united states purchase stealth angel ultra lightweight portable sleeping bag about <num> minutes ago,"Trey in Sparta, United States purchased Stealth Angel Ultra Lightweight & Portable Sleeping Bag about 45 minutes ago",2,1,Social Proof
Activity Notifications,80,tristan in markham canada purchase a dragon baseball jersey,"Tristan in Markham, Canada purchased a Dragon Baseball Jersey",2,1,Social Proof
Activity Notifications,81,viewed <num> times in the last <num> days,Viewed 1040 times in the last 7 days,2,1,Social Proof
Activity Notifications,82,someone purchase a forward revive women s red white hustle t-shirt <num> minutes ago,Someone purchased a FORWARD REVIVE WOMEN'S RED WHITE HUSTLE T-SHIRT 32 minutes ago,2,1,Social Proof
Activity Notifications,83,real time <num> visitor right now,Real time 30 Visitor right now,2,1,Social Proof
Activity Notifications,84,someone in joliet illinois purchase a yocan evolve plus xl vaporizer,"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",2,1,Social Proof
Activity Notifications,85,someone in cedarhurst united states purchase a sproet and sprout shell violet stripe bloomers,"Someone in Cedarhurst, United States purchased a Sproet and Sprout Shell/Violet Stripe Bloomers",2,1,Social Proof
Activity Notifications,86,recently view <num> others view this in the last few hours,RECENTLY VIEWED 2 others viewed this in the last few hours,2,1,Social Proof
Activity Notifications,87,rick in columbia united states purchase a,"Rick in Columbia, United States purchased a",2,1,Social Proof
Activity Notifications,88,don t let em get away several person have recent view this item,DON'T LET 'EM GET AWAY Several people have recently viewed this item.,2,1,Social Proof
Activity Notifications,89,samuel in minneapolis united states purchase a pod juice jewel mint cool nicotine salt e-liquid <num> <num> ml <num> hours ago,"Samuel in Minneapolis, United States purchased a Pod Juice Jewel Mint Cool ❄️Nicotine Salt e-Liquid 15/30ml 7 hours ago",2,1,Social Proof
Activity Notifications,90,sandeep in hawthorne california bought sadie ponte pants - black just now,"Sandeep in Hawthorne, California bought Sadie Ponte Pants - Black Just Now",2,1,Social Proof
Activity Notifications,91,someone added <num> pc <num> ocean natural stone beads beaded bracelet men boho handmade to their cart right now,Someone added 1pc 4ocean natural stone beads beaded bracelet men boho handmade to their cart RIGHT NOW,2,1,Social Proof
Activity Notifications,92,someone bought hype blue large splat kids leggings,Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,2,1,Social Proof
Activity Notifications,93,someone from airdrie <num> others bought this item recent,Someone from Airdrie & 10820 others bought this item recently.,2,1,Social Proof
Activity Notifications,94,someone from cape town western cape south africa just started buy packable travel duffel bag <num> minutes ago,"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",2,1,Social Proof
Activity Notifications,95,someone from huntingtown maryland united states purchase topcoat f <num> polish sealer - web special kits just now,"Someone from Huntingtown, Maryland, United States purchased TopCoat® F11® Polish & Sealer - Web Special Kits Just Now",2,1,Social Proof
Activity Notifications,96,someone in culgoa australia purchase savelli epic mens comfortable leather lace up boots made in brazil,"Someone in Culgoa, Australia purchased Savelli Epic Mens Comfortable Leather Lace Up Boots Made In Brazil",2,1,Social Proof
Activity Notifications,97,someone from portland united states us purchase modalert recent,"Someone from Portland, United States (US) purchased MODALERT recently.",2,1,Social Proof
Activity Notifications,98,someone from rochedale queensland australia started buy this,"Someone from Rochedale, Queensland, Australia started buying this!",2,1,Social Proof
Activity Notifications,99,someone from south gate california just purchase the admiral jr spektrum servo connector plug set male and female - <num> pairs,"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",2,1,Social Proof
Activity Notifications,100,someone in alexandria united states just bought ttdeye queen green colored contact lenses,"Someone in Alexandria, United States just bought TTDeye Queen Green Colored Contact Lenses",2,1,Social Proof
Activity Notifications,101,someone in ampang malaysia just bought,"Someone in Ampang, Malaysia just bought",2,1,Social Proof
Activity Notifications,102,someone in arden hills united states purchase <num> ml young napoleon best strawberry shortcake ejuice vaporham lincoln eliquid about <num> minutes ago,"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",2,1,Social Proof
Activity Notifications,103,someone in bacchus marsh bought a noosa basics deodorant stick - sensitive <num> g <num> seconds ago,Someone in Bacchus Marsh bought a Noosa Basics Deodorant Stick - Sensitive (60g) 27 seconds ago,2,1,Social Proof
Activity Notifications,104,someone in boling iago texas united states purchase seek discomfort sketch white iphone case <num> hours ago,Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,2,1,Social Proof
Activity Notifications,105,someone in byron bay nsw just bought,"Someone in Byron Bay, NSW just bought",2,1,Social Proof
Activity Notifications,106,someone in canberra purchase nadv <num> austracantha about <num> minutes ago,Someone in Canberra purchased\nADV.2 (Austracantha) about 41 minutes ago,2,1,Social Proof
Activity Notifications,107,someone in cashmere bought a rcm cosworth timing belt kit <num> - <num> my ej <num> <num> <num> hour ago,"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",2,1,Social Proof
Activity Notifications,108,someone from purchase a holees original ladies ii - navy about <num> hours ago,Someone from purchased a HOLEES Original Ladies II - Navy About 9 hours ago,2,1,Social Proof
Activity Notifications,109,denise in saluda virginia bought terani couture - <num> e <num> embroidered asymmetric neck mermaid gown,"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",2,1,Social Proof
Activity Notifications,110,jacob in seymour wisconsin united states purchase a bass xl just now,"Jacob in Seymour, Wisconsin, United States purchased a Bass XL just now!",2,1,Social Proof
Activity Notifications,111,crystal li in flushing united states purchase a,"Crystal Li in Flushing, United States purchased a",2,1,Social Proof
Activity Notifications,112,<num> person bought jotter to do refill in the last few hours,1 people bought Jotter To Do Refill in the last few hours,2,1,Social Proof
Activity Notifications,113,<num> person bought this item last week,3 people bought this item last week.,2,1,Social Proof
Activity Notifications,114,<num> person currently interested,24 people currently interested,2,1,Social Proof
Activity Notifications,115,<num> person have added this item to their cart today,2 PEOPLE HAVE ADDED THIS ITEM TO THEIR CART TODAY,2,1,Social Proof
Activity Notifications,116,<num> person have added this to their cart,13 people have added this to their cart,2,1,Social Proof
Activity Notifications,117,<num> person have added to cart recently,"1,142 people have added to cart recently",2,1,Social Proof
Activity Notifications,118,<num> person have already bought that product today with <num> discount,61 people have already bought that product today with 50% discount,2,1,Social Proof
Activity Notifications,119,<num> person have bought this product today,93 PEOPLE HAVE BOUGHT THIS PRODUCT TODAY,2,1,Social Proof
Activity Notifications,120,<num> person are view this currently,1 people are viewing this currently,2,1,Social Proof
Activity Notifications,121,<num> person have it in their cart,7 people have it in their cart,2,1,Social Proof
Activity Notifications,122,<num> person have looked at this today,57 PEOPLE HAVE LOOKED AT THIS TODAY,2,1,Social Proof
Activity Notifications,123,<num> person have this in their cart,39 people have this in their cart,2,1,Social Proof
Activity Notifications,124,<num> person have view in the last <num> hrs,113 people have viewed in the last 24hrs,2,1,Social Proof
Activity Notifications,125,<num> person have view this product recent,228 People Have Viewed This Product Recently!,2,1,Social Proof
Activity Notifications,126,<num> person have view this wine today,17 people have viewed this wine today,2,1,Social Proof
Activity Notifications,127,<num> person is looking at this item,1 person is looking at this item.,2,1,Social Proof
Activity Notifications,128,<num> person is view this,🔥👁️ 1 person is viewing this.,2,1,Social Proof
Activity Notifications,129,<num> person just view this product,2+ people just viewed this product,2,1,Social Proof
Activity Notifications,130,<num> person have looked at this item in the last few hours,62 people have looked at this item in the last few hours.,2,1,Social Proof
Activity Notifications,131,<num> person like this,77 PEOPLE LIKE THIS,2,1,Social Proof
Activity Notifications,132,<num> person are looking at this right now,99 people are looking at this right now,2,1,Social Proof
Activity Notifications,133,<num> person are looking at this listing now,2 people are looking at this listing now,2,1,Social Proof
Activity Notifications,134,<num> added to bag in the past <num> hours,45 ADDED TO BAG IN THE PAST 24 HOURS,2,1,Social Proof
Activity Notifications,135,<num> bought already,227 Bought Already,2,1,Social Proof
Activity Notifications,136,<num> currently viewing,89 currently viewing,2,1,Social Proof
Activity Notifications,137,<num> customers are considering this product now,80 Customers are considering this product right now.,2,1,Social Proof
Activity Notifications,138,<num> customers bought this in the last <num> hours,92 customers bought this in the last 48 hours,2,1,Social Proof
Activity Notifications,139,<num> customers have bought today,8 customers have bought today,2,1,Social Proof
Activity Notifications,140,<num> customers have view this item recently,407 customers have viewed this item recently,2,1,Social Proof
Activity Notifications,141,<num> customers recent bought it,2 customers recently bought it,2,1,Social Proof
Activity Notifications,142,<num> person are looking at this product right now,5 people are looking at this product right now,2,1,Social Proof
Activity Notifications,143,<num> customers view this product today,12 customers viewed this product today!,2,1,Social Proof
Activity Notifications,144,<num> orders,404 Orders,2,1,Social Proof
Activity Notifications,145,<num> other customers have this item in their shopping cart,1 other customers have this item in their shopping cart,2,1,Social Proof
Activity Notifications,146,<num> other person are currently view this item,3 other people are currently viewing this item.,2,1,Social Proof
Activity Notifications,147,<num> other person looking at this item,6 other people looking at this item,2,1,Social Proof
Activity Notifications,148,<num> others have already bought this deal today,6 others have already bought this deal today!,2,1,Social Proof
Activity Notifications,149,<num> person are eyeing this item,33 people are eyeing this item!,2,1,Social Proof
Activity Notifications,150,<num> person are looking at this artwork,8 people are looking at this artwork,2,1,Social Proof
Activity Notifications,151,<num> person are looking at this item right now,3 people are looking at this item right now,2,1,Social Proof
Activity Notifications,152,<num> items sold this hour,994 items sold this hour.,2,1,Social Proof
Activity Notifications,153,<num> person view this product per day,19 people viewed this product per day,2,1,Social Proof
Activity Notifications,154,william in pago pago united states purchase a,"William in Pago Pago, United States purchased a",2,1,Social Proof
Activity Notifications,155,abbie in calwell australia purchase shark bite socks about <num> hour ago,"Abbie in Calwell, Australia purchased Shark Bite Socks about 1 hour ago",2,1,Social Proof
Activity Notifications,156,ashley in auburn united states purchase a check plz iphone x xs case about <num> minutes ago,"Ashley in Auburn, United States purchased a Check Plz iPhone X/Xs Case about 24 minutes ago",2,1,Social Proof
Activity Notifications,157,bernard in philadelphia united states purchase a,"BERNARD in Philadelphia, United States purchased a",2,1,Social Proof
Activity Notifications,158,bobby in decatur united states just purchased,"Bobby in Decatur, United States just purchased",2,1,Social Proof
Activity Notifications,159,bought by <num> person in last few hours hot seller,Bought by 39 people in last few hours! HOT SELLER!,2,1,Social Proof
Activity Notifications,160,<num> users bought this product touch the set - touch xl touchup makeup mirror bundle,64 users bought this product Touch: The Set - Touch XL & TouchUp Makeup Mirror Bundle,2,1,Social Proof
Activity Notifications,161,<num> sold in the last <num> days,2049 sold in the last 7 days,2,1,Social Proof
Activity Notifications,162,<num> sold in past <num> months,1044 sold in past 12 months,2,1,Social Proof
Activity Notifications,163,carl f from fort ann ny bought a king,"Carl F. from Fort Ann, NY bought a King",2,1,Social Proof
Activity Notifications,164,<num> person viewing,3 PEOPLE VIEWING,2,1,Social Proof
Activity Notifications,165,chelsea in burlington wisconsin bought take out the boat jumpsuit blackabout <num> minutes ago,"Chelsea in Burlington, Wisconsin bought Take Out The Boat Jumpsuit, Blackabout 13 minutes ago",2,1,Social Proof
Activity Notifications,166,<num> units sold in the last <num> days,273 units sold in the last 30 days,2,1,Social Proof
Activity Notifications,167,another babe in alexandria united states just ordered flat tummy tea,"Another babe in Alexandria, United States just ordered Flat Tummy Tea",2,1,Social Proof
Activity Notifications,168,<num> users have looked at this product in the past <num> minutes,7 users have looked at this product in the past 6 minutes,2,1,Social Proof
Activity Notifications,169,<num> person view this today,11 people viewed this today!,2,1,Social Proof
Activity Notifications,170,collin p from grandview missouri just bought burgundy two button suit about <num> seconds ago,Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,2,1,Social Proof
Activity Notifications,171,cheryl in ontario bought <num> organic reishi mushroom powder <num> g about <num> minutes ago,Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,2,1,Social Proof
Activity Notifications,172,<num> view per day,308 viewed per day,2,1,Social Proof
Activity Notifications,173,add to wish list <num> person have added,Add to Wish List(13 People Have Added),2,1,Social Proof
Activity Notifications,248,<num> person have looked at this in the last couple of hrs,2 people have looked at this in the last couple of hrs.,2,2,Social Proof
Activity Notifications,174,someone in flemington united states purchase anti-aging eyelid tape contains <num> strips just now,"Someone in Flemington, United States purchased Anti-Aging Eyelid Tape (Contains 100 Strips) Just now",1,1,Social Proof
Activity Notifications,175,someone in castle hill bought a philips essential led downlight kit <num> w <num> k few hours ago,Someone in Castle Hill bought a Philips Essential LED Downlight Kit | 5W 4000K few hours ago.,1,1,Social Proof
Activity Notifications,176,someone in paris france just purchase a kanpeki knife set,"Someone in Paris, France just purchased a Kanpeki Knife Set",1,1,Social Proof
Activity Notifications,177,israël in metz france purchase a more advanced chord substitutions,"Israël in Metz, France purchased a More ADVANCED Chord Substitutions",1,1,Social Proof
Activity Notifications,178,someone in mount louisa bought a coleman folding table bench set <num> minutes ago,Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,1,1,Social Proof
Activity Notifications,179,jamie from eloy united states purchase a cbd oil vape additives <num> pack about <num> hours ago,Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,1,1,Social Proof
Activity Notifications,180,someone in city just added radiance - nebulizing diffuser to their cart,Someone in city just added Radiance - Nebulizing Diffuser® to their cart,1,1,Social Proof
Activity Notifications,181,annie in cheras malaysia just bought an abundance of flowers - van-go paint-by-number kit,"Annie in Cheras, Malaysia just bought: An Abundance of Flowers - Van-Go Paint-By-Number Kit",1,1,Social Proof
Activity Notifications,182,someone in louisville kentucky united states purchase gold presidential bracelet with watch buckle <num> hours ago,Someone in Louisville Kentucky United States Purchased Gold Presidential Bracelet With Watch Buckle 9 hours ago,1,1,Social Proof
Activity Notifications,183,someone in dover united states just bought crew <num> mins ago,"Someone in DOVER, United States just bought Crew 15 mins ago",1,1,Social Proof
Activity Notifications,184,viewed <num> times today,Viewed 744 times today,1,1,Social Proof
Activity Notifications,185,someone in egypt bought,Someone in Egypt bought,1,1,Social Proof
Activity Notifications,186,someone in faizabad just bought pretty love penis sleeve <num> inch an hour <num> minutes ago,Someone in Faizabad just bought: Pretty Love Penis Sleeve 7 inch an hour 2 minutes ago,1,1,Social Proof
Activity Notifications,187,<num> person are looking at this product,3 people are looking at this product,1,1,Social Proof
Activity Notifications,188,someone in pittsworth bought a ultimate colt anal training kit <num> hours ago,Someone in Pittsworth bought a Ultimate COLT Anal Training Kit 2 hours ago,1,1,Social Proof
Activity Notifications,189,ida in tangerang selatan indonesia purchase iseya vg <num> g-series <num> layer damascus japanese chef s santoku knife <num> mm about <num> hour ago,"Ida in Tangerang Selatan, Indonesia purchased Iseya VG10 G-Series 33 layer Damascus Japanese Chef's Santoku Knife , 180mm about 1 hour ago",1,1,Social Proof
Activity Notifications,190,<num> pawrents are buy for their furkids now,105 pawrents are buying for their furkids now!,1,1,Social Proof
Activity Notifications,191,tyler in norwalk united states purchase a,"Tyler in Norwalk, United States purchased a",1,1,Social Proof
Activity Notifications,192,tuvia eisenberg systematics in tel aviv israel purchase a,"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",1,1,Social Proof
Activity Notifications,193,<num> bestseller in rugs this item was view <num> times in the last day,#6 Bestseller in Rugs This item was viewed 92 times in the last day.,1,1,Social Proof
Activity Notifications,194,chirag in anoopshahr just got the jays - a-jays one about <num> minutes ago,Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,1,1,Social Proof
Activity Notifications,195,trey in columbia united states purchase leather cord capsule,"Trey in Columbia, United States purchased Leather Cord Capsule",1,1,Social Proof
Activity Notifications,196,<num> bought in the last <num> hours,4 bought in the last 24 hours.,1,1,Social Proof
Activity Notifications,197,edwin in woodland park nj just bought,"Edwin in Woodland Park, NJ just bought",1,1,Social Proof
Activity Notifications,198,faith in glendale united states purchase a choose your flavors <num> bag sample pack whole bean about <num> hour ago,"Faith in Glendale, United States purchased a Choose Your Flavors 5 Bag Sample Pack (Whole Bean) about 1 hour ago",1,1,Social Proof
Activity Notifications,199,fast mover <num> person added this to cart today,Fast Mover: 35 PEOPLE added this to cart today!,1,1,Social Proof
Activity Notifications,200,theresa from botkins just bought panoply <num> a-line lace formal dress,Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,1,1,Social Proof
Activity Notifications,201,tambria in hattiesburg just bought peruvian virgin natural wave hair <num> bundles with lace frontal <num> human virgin hair,"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair ",1,1,Social Proof
Activity Notifications,202,favored by <num> person,Favored By: 400 people!,1,1,Social Proof
Activity Notifications,203,sudha rana from jaipur bought this product <num> mins ago,"Sudha rana from Jaipur bought this product, 23 Mins ago.",1,1,Social Proof
Activity Notifications,204,carol in st louis missouri bought original usb charging anti-theft backpack,"Carol in St. Louis, Missouri bought Original USB Charging Anti-Theft Backpack",1,1,Social Proof
Activity Notifications,205,<num> of our customers added surefit protection this year,65% of our customers added Surefit protection this year.,1,1,Social Proof
