String,Type,label
Glow Gear Guide,Not Dark Pattern,0
Sunwayfoto,Not Dark Pattern,0
"Sorry, this is out of stock. You just missed it.",Scarcity,1
 Women's Sandals ,Not Dark Pattern,0
Someone in United States just purchased a,Social Proof,1
 Sunflower ,Not Dark Pattern,0
 Air Purifying Plants ,Not Dark Pattern,0
Summary,Not Dark Pattern,0
Child Safety,Not Dark Pattern,0
Orthopedic,Not Dark Pattern,0
 Travel Accessories ,Not Dark Pattern,0
 Comfy and looks great ,Not Dark Pattern,0
Low in stock,Scarcity,1
Panther Anole,Not Dark Pattern,0
 SAF Warriors ,Not Dark Pattern,0
"Michael in Pontiac, United States purchased a",Social Proof,1
 Tweet Share Pin It Add Email ,Not Dark Pattern,0
"No, I Don't Like Discounts",Misdirection,1
TVs Edit,Not Dark Pattern,0
 Jersey GBP,Not Dark Pattern,0
Log in / Create an Account,Not Dark Pattern,0
"No Thanks, I Prefer Paying Full Price.",Misdirection,1
Fewer than 5 left!,Scarcity,1
Only 4 items left in stock.,Scarcity,1
BROKEN REMOTE? FIX IT YOURSELF AND SAVE HUGE,Not Dark Pattern,0
"No thanks, I dont want a discount",Misdirection,1
Toddler Girl Jumpsuits and Rompers,Not Dark Pattern,0
SAA Standard Membership - Credit/Debit Card - Automatic Annual Fee,Not Dark Pattern,0
ONLY 1 ITEM LEFT!,Scarcity,1
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80 ,Urgency,1
Hurry! This garage sale ends in 2h 42m 0s,Urgency,1
 A-Z Luxury Brands ,Not Dark Pattern,0
Selling fast! Add to bag 7 times in the last 48 hours.,Social Proof,1
 EU Delivery & Returns ,Not Dark Pattern,0
"When you place healing crystals in a symmetrical fashion and activate it with a crystal wand, the pattern is charged to send messages to the universe. A healing crystal grid uses sophisticated symmetry for manifestation.",Not Dark Pattern,0
"Carol in St. Louis, Missouri bought Original USB Charging Anti-Theft Backpack",Social Proof,1
Back Yard & Beyond,Not Dark Pattern,0
"Due To HIGH Demand, Cart Expires In: 08:41",Urgency,1
A very fun outfit for a less formal event like a sangeet! Husband said the bell bottom type pants were fun to dance in :),Not Dark Pattern,0
gifts for wife,Not Dark Pattern,0
Only 7 left!,Scarcity,1
Stay Up Next.co.uk,Not Dark Pattern,0
Beach Towels & Mats,Not Dark Pattern,0
90% offers claimed. Hurry up!,Scarcity,1
Hair treatments,Not Dark Pattern,0
$132.90 $99.00 USD,Misdirection,1
Was this product description useful?YesNo,Not Dark Pattern,0
(ONLY 1 LEFT IN THIS SIZE!),Scarcity,1
 Gameday Collection ,Not Dark Pattern,0
 OH SHIP! Looks like that page wasn't found ,Not Dark Pattern,0
Shop now. Pay later. Always interest-free,Not Dark Pattern,0
 Shop All Lehenga Choli ,Not Dark Pattern,0
Transmission and Driveline,Not Dark Pattern,0
Hair type: Curly,Not Dark Pattern,0
"No Thanks, You Don't Like Saving Money.",Misdirection,1
Sale Ends : 5 days 14 hours 42 mins 53 sec,Urgency,1
"894 Claimed! Hurry, only a few left!",Scarcity,1
"No Thanks, I prefer paying full price.",Misdirection,1
"No thanks, I don't want to save up to 75%",Misdirection,1
Only 7 left in stock!,Scarcity,1
LIMITED TIME ONLY 10 OFF 50 SPEND NEW CUSTOMERS ONLY - TERMS & CONDITIONS APPLY,Urgency,1
Terms of Use,Not Dark Pattern,0
Fashion Forms,Not Dark Pattern,0
$132.90 $99.00,Misdirection,1
6 others have already bought this deal today!,Social Proof,1
Free People,Not Dark Pattern,0
Low Stock – Selling Fast,Scarcity,1
"Sorry, we could not process your request at the earliest Please try again in a few minutes.",Not Dark Pattern,0
 Gift Card FAQs ,Not Dark Pattern,0
"No, but I'd rather pay full price.",Misdirection,1
Pillowcases & Shams,Not Dark Pattern,0
"Jonathan in Syracuse, United States just bought Electric Skateboard Battery Battery 36V 10S2P 4 hours ago",Social Proof,1
Cart will expire in 04:53 minutes!,Urgency,1
80% offers claimed. Hurry up!,Scarcity,1
" This product can expose you to chemicals including Hexavalent which is known to the State of California to cause cancer on birth defects or other reproductive harm. For more information, visit ",Not Dark Pattern,0
"If you are one of those constantly devoted to healthy eating, weight loss plans,..",Not Dark Pattern,0
Back Yard & Beyond,Not Dark Pattern,0
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time ! Save Now!,Urgency,1
The product you requested is not available in the selected country,Not Dark Pattern,0
✕,Not Dark Pattern,0
"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently",Social Proof,1
Mixed Media News,Not Dark Pattern,0
Sunglasses and Eyewear,Not Dark Pattern,0
0:44:56 GMT,Urgency,1
Card Storage,Not Dark Pattern,0
Thin and tough - protects from minor scratches,Not Dark Pattern,0
Mom & Baby,Not Dark Pattern,0
Limited Time Offer,Urgency,1
 Shop Optics > ,Not Dark Pattern,0
Down Jackets,Not Dark Pattern,0
"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",Social Proof,1
Limited Time Only! 20% Off,Urgency,1
" This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in. ",Not Dark Pattern,0
Father's Day Gifts,Not Dark Pattern,0
I am very pleased with the service I received.,Not Dark Pattern,0
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,Social Proof,1
"Someone in Sasebo, Japan just bought",Social Proof,1
Warning: Last items in stock!,Scarcity,1
Stock Low : 6 items left.,Scarcity,1
About Ruth Hogan,Not Dark Pattern,0
Don’t worry. We’ve got your back.,Not Dark Pattern,0
All You™ !,Not Dark Pattern,0
Only 1 Item Left!,Scarcity,1
"No thanks, I don't want to build one.. I'd rather kick rocks!",Misdirection,1
We're offline !,Not Dark Pattern,0
 Mobile Terms of Use ,Not Dark Pattern,0
tedpullin cc,Not Dark Pattern,0
161 people have viewed this item,Social Proof,1
SRX Remotes,Not Dark Pattern,0
"No thanks, I want to pay the full price.",Misdirection,1
"No thanks, I'll just pay full price.",Misdirection,1
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80,Urgency,1
ShopClose menu,Not Dark Pattern,0
"After trying several other shades of red, I’ve tried this one and just love it. It is the perfect shade of brown with beautiful red highlights, very rich color, and very beautiful.",Not Dark Pattern,0
Cosmic Rainbow Theory,Not Dark Pattern,0
OFFER ENDS: 09h: 00 55s: 0,Urgency,1
Low in stock: only 2 left.,Scarcity,1
 Chair Accessories ,Not Dark Pattern,0
Product Info :,Not Dark Pattern,0
lego harry potter,Not Dark Pattern,0
Present your Fave voucher (it's in the Purchases tab under Shopping Fave) at the outlet.,Not Dark Pattern,0
Moonstone Beads Forever,Not Dark Pattern,0
The requested page could not be found,Not Dark Pattern,0
Countdown,Not Dark Pattern,0
WhiteBoho Rose mary and Sham Set,Not Dark Pattern,0
"No, I Don't Want Discounts",Misdirection,1
Shop By Fabric,Not Dark Pattern,0
Icon MTB Socks - Black/Green,Not Dark Pattern,0
OFFER ENDS IN: 00:32:04 TIME BEFORE RUNNING OUT!,Urgency,1
Temple Locks Ahead,Not Dark Pattern,0
Product Tagline,Not Dark Pattern,0
0 DAYS22 HOURS13 TOTAL SECONDS,Urgency,1
Plus Designer Shirts and Blouses,Not Dark Pattern,0
Loading,Not Dark Pattern,0
Sellout risk:,Scarcity,1
Charity Collection Archives,Not Dark Pattern,0
Subscribe & Save,Misdirection,1
"We combined powerful, yet gentle acne-fighting ingredients with our own unique plant-based complexes to help reduce irritation and redness associated with acne and breakouts. The result? Skin that’s nourished, smooth, and most importantly, clear!",Not Dark Pattern,0
Only 2 units left in stock,Scarcity,1
"Leah Rich in Louisville, United States via a",Social Proof,1
I'D RATHER PAY FULL PRICE,Misdirection,1
8 people have this in their bag right now.,Social Proof,1
23% left in stock!,Scarcity,1
Cellular/Honeycomb Shades,Not Dark Pattern,0
Upright Plants,Not Dark Pattern,0
Authenticity Guaranteed,Not Dark Pattern,0
"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",Social Proof,1
Over 200 views in 24 hrs,Social Proof,1
LOW STOCK: Only 1 left.,Scarcity,1
 Bar Stools,Not Dark Pattern,0
Someone in Castle Hill bought a Philips Essential LED Downlight Kit | Philips 4000K few hours ago.,Social Proof,1
Only A Few Left,Scarcity,1
Click and Collect T&C,Not Dark Pattern,0
ADD WORLD'S MOST SPECIAL CHAIRS,Misdirection,1
339 users are currently active on our website,Social Proof,1
"No, thank you. I prefer to pay the full price",Misdirection,1
Limited-time Deal,Scarcity,1
"No thanks, I like full price",Misdirection,1
LAYAWAY SALE WE WILL MATCH YOUR INITIAL PAYMENT. LIMITED TIME ONLY,Urgency,1
"No thanks, I'm not interested in saving money.",Misdirection,1
ONLY 5 LEFT!,Scarcity,1
Only a few left of this product!,Scarcity,1
On Sale! Limited Time Offer!,Urgency,1
 Unstitched Fabric ,Not Dark Pattern,0
 United States ,Not Dark Pattern,0
LIMITED OFFER: $125 Off + 2 Free Pillows,Urgency,1
Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired),Social Proof,1
HOT PRODUCT Over 250 people are looking at this item.,Social Proof,1
" Mystic Topaz: Rings, Earrings, Necklaces and Bracelets ",Not Dark Pattern,0
Order in 14:53 to get 2 pillows for free,Urgency,1
Speed Lace Accessory Kit - Orange,Not Dark Pattern,0
1 people are viewing this currently,Social Proof,1
Switchers,Not Dark Pattern,0
Your cart is reserved for 14:57 minutes!,Urgency,1
"Special Thanks, I'll Pay Full Price",Misdirection,1
HHR remotes :,Not Dark Pattern,0
Only one item left in stock!,Scarcity,1
 WWE New Arrivals ,Not Dark Pattern,0
 Teething Remedies ,Not Dark Pattern,0
 Light Blue Regular Fit Single Cuff Easy Care Shirt ,Not Dark Pattern,0
"Security is our top priority. Our subscription payments are powered by Stripe and ReCharge, processed in a secure PCI-compliant environment to the highest industry standards. Ketolent staff never know your credit card number.",Not Dark Pattern,0
"When you visit any website, it may store or retrieve information on your browser, mostly in the form of cookies. This information might be about you, your preferences or your device and is mostly used to make the site work as you expect it to. The information does not usually directly identify you, but it can give you a more personalized web experience. Because we respect your right to privacy, you can choose not to allow some types of cookies. Click on the different category headings to find out more and change our default settings. However, blocking some types of cookies may impact your experience of the site and the services we are able to offer. ",Not Dark Pattern,0
ONLY 3 LEFT IN STOCK.,Scarcity,1
Product Info,Not Dark Pattern,0
We're offline,Not Dark Pattern,0
Your bicycle tells a story,Not Dark Pattern,0
Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,Social Proof,1
1 person is looking at this item.,Social Proof,1
Choose which store you would like to visit,Not Dark Pattern,0
Exotic Bird Food,Not Dark Pattern,0
"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",Social Proof,1
SAVE $300.00\nfor limited time,Urgency,1
Cowgirls,Not Dark Pattern,0
"Debby in Harpers Ferry, United States just bought: Icing Pen Decorating Tool",Social Proof,1
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Social Proof,1
"No Thanks, I don't get exclusive deals.",Misdirection,1
 Eyelashes ,Not Dark Pattern,0
"No thanks, I don't want a free gift.",Misdirection,1
 MIN Twins ,Not Dark Pattern,0
"Both of these jerseys are awesome, I couldn’t have asked for better quality.",Not Dark Pattern,0
Screen print graphics,Not Dark Pattern,0
 Payment Methods ,Not Dark Pattern,0
Polycarbonate polymer,Not Dark Pattern,0
"Brand in Charleston, South Carolina just purchased The Puffy Lux Mattress",Social Proof,1
"Check your orders, in-store quotes & more",Not Dark Pattern,0
No thanks - I don't want to save money,Misdirection,1
LEGO Sondersets Saison Polybags Promotionals ExklusiveOpens in a new window or tab,Not Dark Pattern,0
Deals of the Week,Not Dark Pattern,0
"No thanks, I don't want to look my best",Misdirection,1
Tapestry Guide,Not Dark Pattern,0
LAST 1 LEFT,Scarcity,1
Cincinnati Bengals T-Shirts,Not Dark Pattern,0
 Glow Gear ,Not Dark Pattern,0
CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map,Not Dark Pattern,0
Limited Time Offers,Urgency,1
Your Cart Will Expire In 09:58 Please note that these items may not be available again if you release them.,Urgency,1
 Italy € EUR ,Not Dark Pattern,0
 TERMS OF SALE ,Not Dark Pattern,0
Jewelry Care Kit,Not Dark Pattern,0
Polar Planet II,Not Dark Pattern,0
FilterSortFeaturedPrice: Low to HighPrice: High to LowAlphabetical: A-ZAlphabetical: Z-A,Not Dark Pattern,0
Selling fast!,Scarcity,1
Hurry! This garage sale ends in 2h 42m 0s,Urgency,1
"Now 30% off - hurry, limited promotional offer!",Urgency,1
 Active Filters English (United States) English (United States) ✘ Remove Filter ,Not Dark Pattern,0
In Stock Only 5 left!,Scarcity,1
Use a clean toilet and clean water.,Not Dark Pattern,0
"No thanks, I'd like it off",Misdirection,1
 Drive and Focus ,Not Dark Pattern,0
Only 5 left,Scarcity,1
"Don't snooze, only 1 left",Scarcity,1
Epilepsy Safe Profile: this profile enables people with epilepsy to safely use the website by eliminating the risk of seizures resulting from flashing or blinking animations and risky color combinations.,Not Dark Pattern,0
 View All Mattress Accessories ,Not Dark Pattern,0
 Businesses in the EU buying from a business in the same country are also charged VAT.,Not Dark Pattern,0
Limited Time Only · Online Only,Urgency,1
Classic Casual Printed Short Sleeve T-Shirt,Not Dark Pattern,0
"No, I don't feel .""",Misdirection,1
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,Urgency,1
"Size low on stock, only 1 item left",Scarcity,1
Lawn Mowers Photography,Not Dark Pattern,0
 Bioactive Custodians ,Not Dark Pattern,0
Trending now! Added to basket 490 times today,Social Proof,1
Orthopedic Surgery,Not Dark Pattern,0
Fans from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,Social Proof,1
Only 1 Item(s) left,Scarcity,1
Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,Social Proof,1
Protect Your Gear,Misdirection,1
RegionBracket Right,Not Dark Pattern,0
"No thanks, I prefer to pay more expensive shoes!",Misdirection,1
85 have it in their cart,Social Proof,1
"Metal - Brass , hollow from inside ",Not Dark Pattern,0
Boys Grey School Musical,Not Dark Pattern,0
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",Social Proof,1
We are currently accepting and processing orders from following:,Not Dark Pattern,0
Toe Ring,Not Dark Pattern,0
I WANT TO PAY MORE LATER ;),Misdirection,1
Other Promotions,Not Dark Pattern,0
Only 3 Left In Stock,Scarcity,1
5 LEFT,Scarcity,1
"No Thanks, I like paying full price.",Misdirection,1
"Only 5 left , In Stock",Scarcity,1
"Order soon, only 1 left!",Scarcity,1
"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",Social Proof,1
These pieces are not yet in stock but will be shipped as soon as they are available. The estimated ship date will be noted on the product page.,Not Dark Pattern,0
LOW STOCK (ONLY 10 LEFT!),Scarcity,1
23 People viewing this product,Social Proof,1
 Baby & Toddler Toys ,Not Dark Pattern,0
Powered by WordPress,Not Dark Pattern,0
3 PEOPLE VIEWING,Social Proof,1
LIMITED TIME ONLY,Urgency,1
Act now and save your Limited time only!,Urgency,1
2 items left,Scarcity,1
ONLY 20 LEFT IN STOCK,Scarcity,1
"We are one of the best online printing technology & solution company successfully serving local and international customers to cherish the joy, love and precious moments in life with various products. Being an instrument to spread your joy and love in a beautiful way we take pride in providing the best quality services. ",Not Dark Pattern,0
SELLING FAST! GET 10% OFF THIS ITEM. ACTIVATE NOW.,Scarcity,1
 Best Deals of the Month: April Edition ,Not Dark Pattern,0
 View all Ink categories ,Not Dark Pattern,0
Only 5 left in stock,Scarcity,1
Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,Social Proof,1
 Laundry & Cleaning ,Not Dark Pattern,0
"Someone in DOVER, United States just bought Crew 15 mins ago",Social Proof,1
LIMITED TIME OFFER MEN'S CHINOS & 5-POCKET PANTS BUY 2 FOR $59.90 EACH SHOP NOW,Urgency,1
 Upcoming Events ,Not Dark Pattern,0
Golf Shop,Not Dark Pattern,0
Loading interface...,Not Dark Pattern,0
The World Fair Trade Organization Label guarantees that People Tree follows Fair Trade best practices in our organisation.,Not Dark Pattern,0
jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,Social Proof,1
 Bento Lunch Boxes & Food Containers ,Not Dark Pattern,0
Only 4 copies left,Scarcity,1
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",Social Proof,1
Shop Safely And Securely,Not Dark Pattern,0
"Located in Newton, United States purchasedKTM Stand Plate Large KTM...",Social Proof,1
Hayden near Princeton just bought!!!: CBD VEGAN IA,Social Proof,1
| Add to Compare,Not Dark Pattern,0
Value of Product,Not Dark Pattern,0
"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",Social Proof,1
No thanks. I don’t want deals.,Misdirection,1
"No thanks, I don't like exclusive offers",Misdirection,1
Your order is valid for 29:52 minutes!,Urgency,1
0 Days 2 Hours 57 Minutes 53 Seconds,Urgency,1
VUSE Alto Menthol Collection,Not Dark Pattern,0
"Our most recent customers are from New Rochelle, Roseville, and Brooksville",Social Proof,1
 Intercoastal Performance Pant - True Navy ,Not Dark Pattern,0
I'LL PAY FULL REST,Misdirection,1
"Sponges, Mitts & Bath Brushes",Not Dark Pattern,0
 School Shoes,Not Dark Pattern,0
Media Enterprises LLC. All Rights Reserved.,Not Dark Pattern,0
Chargers Offense,Not Dark Pattern,0
Synthesis E-MTB Alloy Rear Wheel,Not Dark Pattern,0
Returns / Warranty,Not Dark Pattern,0
Flowers Trivia:,Not Dark Pattern,0
FOR A LIMITED TIME ONLY,Urgency,1
Someone from Airdrie & 10820 others bought this item recently.,Social Proof,1
Grab yourself a drink,Misdirection,1
FANSTASTIC DEALS,Misdirection,1
Only 1 Left!,Scarcity,1
PopGrip MagSafe Filter by Product Type: PopGrip MagSafe,Not Dark Pattern,0
2 people are looking right now,Social Proof,1
Powered by,Not Dark Pattern,0
Deals of the Week,Not Dark Pattern,0
 A Date With Duchess ,Not Dark Pattern,0
Best-Selling Products Ever,Not Dark Pattern,0
Unique and personalized products to go as yourself.,Not Dark Pattern,0
Corporate Responsibility Report,Not Dark Pattern,0
Womens Platform Shoes,Not Dark Pattern,0
