test_idx,train_match_idx,cos_sim,test_text,train_text,test_label,train_label
1286,1832,0.96997297,No hidden steps and no hidden fees on the information page,No hidden steps and no hidden fees on the details page,Not Dark Pattern,Not Dark Pattern
2259,1161,0.96896124,Your order is reserved for 08:48 minutes!,Your order is reserved for 09:58 minutes!,Countdown Timers,Countdown Timers
1602,652,0.96834576,the page provides clear choices only and no popularity counters,the page presents clear choices only and no popularity counters,Not Dark Pattern,Not Dark Pattern
2703,950,0.96820486,Only 9 left!,Only 8 Left!,Low-stock Messages,Low-stock Messages
2040,2600,0.9665122,Offer valid today will auto expire end of month,Offer valid this evening will auto expire end of month,Limited-time Messages,Limited-time Messages
337,1092,0.9653167,Hot right now purchased over the weekend,Hot right now purchased today,Activity Notifications,Activity Notifications
65,1647,0.9636253,Hurry! Only 3 Left In Stock.,HURRY! 3 left in stock!,Low-stock Messages,Low-stock Messages
2601,977,0.96263057,Only 1 left in stock.,ONLY 1 LEFT IN STOCK,Low-stock Messages,Low-stock Messages
206,950,0.9625598,Only 7 left!,Only 8 Left!,Low-stock Messages,Low-stock Messages
1957,1702,0.9601791,"No thank you, I prefer to pay full price","No Thanks, I Prefer Paying Full Price",Confirmshaming,Confirmshaming
2611,147,0.95828635,Intro price ends next week renewals at regular rate,Intro price ends today renewals at regular rate,Limited-time Messages,Limited-time Messages
2329,2792,0.9565777,Sale ends this week only This is your last chance,Sale ends today This is your last chance,Limited-time Messages,Limited-time Messages
150,2051,0.956481,"No thanks, I want to pay full price","No Thanks, I rather pay full price",Confirmshaming,Confirmshaming
602,934,0.95597214,Only 1 item left in stock,Only 1 item(s) left in stock,Low-stock Messages,Low-stock Messages
2667,2757,0.95595056,Hurry! Only 4 left in stock.,Hurry up! Only 4 left in stock,Low-stock Messages,Low-stock Messages
3038,646,0.9556503,Reserve your note taking app now deal vanishes next week,Reserve your note taking app now deal vanishes this evening,Limited-time Messages,Limited-time Messages
2415,3081,0.9554324,4 items left,3 items left,Low-stock Messages,Low-stock Messages
1124,851,0.95531464,Promo applied Taxes and transaction fee may be shown at checkout,Promo applied Taxes and handling fee may be shown at checkout,Trick Questions,Trick Questions
1479,2170,0.95512724,POPULAR 64 others checked this out in the last few hours.,POPULAR 62 others checked this out in the last few hours.,Activity Notifications,Activity Notifications
1514,1990,0.9542979,Only 52 codes left for 35 percent off,Only 44 codes left for 65 percent off,Limited-time Messages,Limited-time Messages
2720,143,0.9541948,"Now 20% off, hurry limited time offer!","Now 30% off - hurry, limited time offer!",Limited-time Messages,Limited-time Messages
3085,539,0.95386404,Only 1 left.,Only 2 left.,Low-stock Messages,Low-stock Messages
566,2214,0.9538152,Selling out quickly 53 items left as of over the weekend,Selling out quickly 48 items left as of over the weekend,Limited-time Messages,Limited-time Messages
388,2266,0.95176053,Final hours save 35 percent if you order within 12 hours,Final hours save 25 percent if you order within 6 hours,Countdown Timers,Countdown Timers
897,3058,0.9510705,Skip step appears after you click Next,Skip step appears after you click Continue,Trick Questions,Trick Questions
738,2992,0.95083445,HURRY! ENDS IN: 10 HRS 40 MIN 00 SEC,HURRY! ENDS IN: 11 HRS 20 MIN 13 SEC,Countdown Timers,Countdown Timers
1993,2474,0.95068693,Preorder window closes by midnight secure your spot,Preorder window closes this evening secure your spot,Limited-time Messages,Limited-time Messages
761,2044,0.9504515,Limited window 12 hours left to qualify for free shipping,Limited window 30 minutes left to qualify for free shipping,Countdown Timers,Countdown Timers
1890,1808,0.95040685,Save 40 percent if you complete checkout by next week,Save 20 percent if you complete checkout by next week,Limited-time Messages,Limited-time Messages
1597,714,0.9497843,ONLY 1 REMAINING,Only 1 left,Low-stock Messages,Low-stock Messages
2948,1053,0.9496242,2 left in stock,1 left in stock,Low-stock Messages,Low-stock Messages
509,1752,0.94793206,"No thanks, I will pay full price.","No thanks, I'll pay full price!",Confirmshaming,Confirmshaming
369,2370,0.94679433,Selected by 73 users in the last 30 minutes,Selected by 69 users in the last 6 hours,Activity Notifications,Activity Notifications
3048,2060,0.94446343,All choices are explicit and no pop ups are avoided on this page,All choices are explicit and no pop ups are avoided on this section,Not Dark Pattern,Not Dark Pattern
2643,2044,0.9437913,Limited window 6 hours left to qualify for free shipping,Limited window 30 minutes left to qualify for free shipping,Countdown Timers,Countdown Timers
2571,107,0.94343585,(Only 1 Left),(Only 1 left!),Low-stock Messages,Low-stock Messages
437,3081,0.9413709,2 items left,3 items left,Low-stock Messages,Low-stock Messages
813,392,0.9412483,All choices are explicit and no popularity counters are avoided on the information page,All choices are explicit and no popularity counters are avoided on the settings page,Not Dark Pattern,Not Dark Pattern
2985,1557,0.9394893,CUSTOMER SERVICE,Customer Support,Not Dark Pattern,Not Dark Pattern
225,669,0.9385525,Only 7 left in stock!,Only 7 left in stock.,Low-stock Messages,Low-stock Messages
817,1155,0.93692744,the page displays no hidden fees and you may check out without prompts,the page displays no hidden fees and you may continue without prompts,Not Dark Pattern,Not Dark Pattern
2938,935,0.93664175,Rated 4 stars by 74 plus customers,Rated 4 5 stars by 57 plus customers,Testimonials of Uncertain Origin,Testimonials of Uncertain Origin
1886,2251,0.9365821,No hidden steps and no badges on the details page,No hidden steps and no badges on the information page,Not Dark Pattern,Not Dark Pattern
1421,2273,0.93506914,In Stock only 3 left,Only 3 left in stock,Low-stock Messages,Low-stock Messages
2193,304,0.9348196,Only 1 unit left in stock,Only 2 units left in stock,Low-stock Messages,Low-stock Messages
3087,1045,0.93379766,Hurry just 22 items remaining Do not miss out,Hurry just 27 items remaining Do not miss out,Limited-time Messages,Limited-time Messages
2593,2413,0.93187255,Hurry only 2 left,Hurry! Only 2 Left,Low-stock Messages,Low-stock Messages
1208,2331,0.931749,"No thanks, I want to pay the full price.","No thanks, I prefer to pay full price.",Confirmshaming,Confirmshaming
1278,1295,0.9309611,Only 10 left in stock,Less than 10 left in stock,Low-stock Messages,Low-stock Messages
61,1983,0.9305068,No hidden steps and no inventory messages on the product page,No hidden steps and no inventory messages on the information page,Not Dark Pattern,Not Dark Pattern
2064,2631,0.93049186,Offer valid today only checkout within 30 minutes,Offer valid today only checkout within 20 minutes,Countdown Timers,Countdown Timers
2282,1766,0.93031925,"ONLY 5 LEFT, HURRY!","Hurry, only 5 left",Low-stock Messages,Low-stock Messages
1347,465,0.9298499,0 DAYS22 HOURS13 MINUTES21 SECONDS,0 Days 2 Hours 57 Minutes 53 Seconds,Countdown Timers,Countdown Timers
2871,2684,0.9295448,ONLY 13 LEFT,Only 13 left!,Low-stock Messages,Low-stock Messages
