String,Type,Predicate
"[NO THANKS, I'LL JUST WALK]",Misdirection,Confirmshaming
nan,Misdirection,Pressured Selling
"no thanks, I don't like to save",Misdirection,Confirmshaming
"no thanks, I hate fun & games",Misdirection,Confirmshaming
"no thanks, I like paying full price",Misdirection,Confirmshaming
"no thanks, I'll save money another day",Misdirection,Confirmshaming
(5 Left),Scarcity,Low-stock Message
(ONLY 1 LEFT IN THIS SIZE!),Scarcity,Low-stock Message
(Only 1 Left),Scarcity,Low-stock Message
(Only 1 left!),Scarcity,Low-stock Message
(Only 5 Left),Scarcity,Low-stock Message
(only 5 left),Scarcity,Low-stock Message
*Only 2 left in stock. Don't miss out!,Scarcity,Low-stock Message
1 LEFT,Scarcity,Low-stock Message
1 LEFT IN THIS SIZE,Scarcity,Low-stock Message
1 Left,Scarcity,Low-stock Message
1 in Stock,Scarcity,Low-stock Message
1 in stock,Scarcity,Low-stock Message
1 item left,Scarcity,Low-stock Message
1 left at this price,Scarcity,Low-stock Message
1 left in stock,Scarcity,Low-stock Message
1 left in stock. Hurry!,Scarcity,Low-stock Message
"1 left, order now!",Scarcity,Low-stock Message
10 Left,Scarcity,Low-stock Message
10 Left in stock,Scarcity,Low-stock Message
10 SEATS LEFT,Scarcity,Low-stock Message
"128 sold today! Hurry, only a few left!",Scarcity,Low-stock Message
167 piece(s) left for this promo,Scarcity,Low-stock Message
18 In Stock,Scarcity,Low-stock Message
2 LEFT,Scarcity,Low-stock Message
2 in stock,Scarcity,Low-stock Message
2 items left,Scarcity,Low-stock Message
2 left,Scarcity,Low-stock Message
2 left in stock,Scarcity,Low-stock Message
20 units left,Scarcity,Low-stock Message
23% left in stock!,Scarcity,Low-stock Message
3 LEFT,Scarcity,Low-stock Message
3 Left,Scarcity,Low-stock Message
3 Left!,Scarcity,Low-stock Message
3 items left,Scarcity,Low-stock Message
3 left,Scarcity,Low-stock Message
3 left in stock,Scarcity,Low-stock Message
320 items left,Scarcity,Low-stock Message
4 SEATS LEFT,Scarcity,Low-stock Message
4 items left,Scarcity,Low-stock Message
5 LEFT,Scarcity,Low-stock Message
5 in stock,Scarcity,Low-stock Message
5 items left,Scarcity,Low-stock Message
5 left,Scarcity,Low-stock Message
6 items left! Order soon.,Scarcity,Low-stock Message
67% offers claimed. Hurry up!,Scarcity,Low-stock Message
7 left in stock,Scarcity,Low-stock Message
70% offers claimed. Hurry up!,Scarcity,Low-stock Message
72% offers claimed. Hurry up!,Scarcity,Low-stock Message
74% offers claimed. Hurry up!,Scarcity,Low-stock Message
8 items left,Scarcity,Low-stock Message
80% offers claimed. Hurry up!,Scarcity,Low-stock Message
"803 Claimed! Hurry, only a few left!",Scarcity,Low-stock Message
83% offers claimed. Hurry up!,Scarcity,Low-stock Message
87% offers claimed. Hurry up!,Scarcity,Low-stock Message
89% offers claimed. Hurry up!,Scarcity,Low-stock Message
"894 Claimed! Hurry, only a few left!",Scarcity,Low-stock Message
9 items left,Scarcity,Low-stock Message
90% offers claimed. Hurry up!,Scarcity,Low-stock Message
94% offers claimed. Hurry up!,Scarcity,Low-stock Message
96 ITEM(S) LEFT IN STOCK!,Scarcity,Low-stock Message
ALMOST GONE - only 2 remaining!,Scarcity,Low-stock Message
AN ITEM IN YOUR CART IS SELLING OUT QUICKLY,Scarcity,High-demand Message
Almost Sold Out! Only 2 Left.,Scarcity,Low-stock Message
Almost gone! Only 3 left In Stock,Scarcity,Low-stock Message
"An item you ordered is in high demand. No worries, we have prioritized your order.",Scarcity,High-demand Message
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,High-demand Message
Availability: 5 items left,Scarcity,Low-stock Message
Availability: In Stock Hurry! Only 8 Left!,Scarcity,Low-stock Message
Availability: Low Stock,Scarcity,Low-stock Message
Availability: Low Stock 4 Remaining,Scarcity,Low-stock Message
Availability: Low in stock today,Scarcity,Low-stock Message
Availability: Only 1 Left,Scarcity,Low-stock Message
Availability: Only 4 Left!,Scarcity,Low-stock Message
"Available, only 2 left",Scarcity,Low-stock Message
BOTTLES LEFT 3,Scarcity,Low-stock Message
Clearance! Only 4 left in stock.,Scarcity,Low-stock Message
Currently 8 left in stock.,Scarcity,Low-stock Message
Currently less than 10 available,Scarcity,Low-stock Message
Don't miss out on this item! There is only 1 left in stock.,Scarcity,Low-stock Message
"Don't miss out, only 2 left in stock",Scarcity,Low-stock Message
"Don't snooze, only 1 left",Scarcity,Low-stock Message
"Due To HIGH Demand, Cart Expires In: 08:41",Scarcity,High-demand Message
Extremely high demand: expect 2-4 weeks for it to arrive (to be safe). Limit 4 per person!,Scarcity,High-demand Message
Fewer than 5 left!,Scarcity,Low-stock Message
Going Fast: Limited Quantities Left!,Scarcity,Low-stock Message
HIGH DEMAND,Scarcity,High-demand Message
HURRY ONLY 1 ITEM LEFT!,Scarcity,Low-stock Message
HURRY ONLY 9 LEFT IN STOCK!,Scarcity,Low-stock Message
HURRY! 3 left in stock!,Scarcity,Low-stock Message
HURRY! LESS THAN 129 LEFT.,Scarcity,Low-stock Message
HURRY! ONLY 1 IN STOCK!,Scarcity,Low-stock Message
HURRY! ONLY 11 LEFT IN STOCK.,Scarcity,Low-stock Message
HURRY! ONLY 14 LEFT IN STOCK.,Scarcity,Low-stock Message
HURRY! ONLY 19 LEFT IN STOCK.,Scarcity,Low-stock Message
HURRY! ONLY 2 LEFT IN STOCK!,Scarcity,Low-stock Message
HURRY! ONLY 2 LEFT!,Scarcity,Low-stock Message
HURRY! ONLY 31 LEFT IN STOCK.,Scarcity,Low-stock Message
HURRY! ONLY 58 LEFT IN STOCK!,Scarcity,Low-stock Message
HURRY! Only a few left in stock!,Scarcity,Low-stock Message
"HURRY, LOW IN STOCK!",Scarcity,Low-stock Message
"HURRY, ONLY 1 LEFT!",Scarcity,Low-stock Message
"HURRY, THERE ARE ONLY 9 ITEM(S) LEFT!",Scarcity,Low-stock Message
High demand,Scarcity,High-demand Message
Hurry !! Only 52 left in stock,Scarcity,Low-stock Message
Hurry Low Stock,Scarcity,Low-stock Message
Hurry Up ! Just 2 Items Left in stock,Scarcity,Low-stock Message
Hurry Up! Only 1 Piece Left,Scarcity,Low-stock Message
Hurry only 1 left!,Scarcity,Low-stock Message
Hurry only 2 left,Scarcity,Low-stock Message
Hurry only 8 items left!,Scarcity,Low-stock Message
Hurry up! Only 11 items left,Scarcity,Low-stock Message
Hurry up! Only 4 left in stock,Scarcity,Low-stock Message
Hurry! 1 items left!,Scarcity,Low-stock Message
Hurry! Almost Sold Out...,Scarcity,Low-stock Message
Hurry! Less than 10 left!,Scarcity,Low-stock Message
Hurry! Limited Quantity Available.,Scarcity,Low-stock Message
Hurry! Only 1 Left In Stock,Scarcity,Low-stock Message
Hurry! Only 1 Pair left!,Scarcity,Low-stock Message
Hurry! Only 1 left in size M!!,Scarcity,Low-stock Message
Hurry! Only 1 left in stock,Scarcity,Low-stock Message
Hurry! Only 1 left!,Scarcity,Low-stock Message
Hurry! Only 15 left!,Scarcity,Low-stock Message
Hurry! Only 2 Left,Scarcity,Low-stock Message
Hurry! Only 2 left,Scarcity,Low-stock Message
Hurry! Only 2 left at this price!,Scarcity,Low-stock Message
Hurry! Only 2 left in stock,Scarcity,Low-stock Message
Hurry! Only 2 left in stock!,Scarcity,Low-stock Message
Hurry! Only 2 left!,Scarcity,Low-stock Message
Hurry! Only 3 Left In Stock.,Scarcity,Low-stock Message
Hurry! Only 4 left in stock.,Scarcity,Low-stock Message
Hurry! Only 6 left in stock,Scarcity,Low-stock Message
Hurry! Only 6 left in stock!,Scarcity,Low-stock Message
Hurry! Only 6 left in stock.,Scarcity,Low-stock Message
Hurry! Only 7 left,Scarcity,Low-stock Message
Hurry! Only 7 left in stock.,Scarcity,Low-stock Message
Hurry! Only 9 left in stock.,Scarcity,Low-stock Message
Hurry! Only Limited Items Left,Scarcity,Low-stock Message
Hurry! Only a few of these left,Scarcity,Low-stock Message
"Hurry, Only 4 Left In Stock. Buy Now!",Scarcity,Low-stock Message
"Hurry, Only a few left!",Scarcity,Low-stock Message
"Hurry, limited quantities left!",Scarcity,Low-stock Message
"Hurry, only 1 left in stock!",Scarcity,Low-stock Message
"Hurry, only 1 left!",Scarcity,Low-stock Message
"Hurry, only 2 left in stock",Scarcity,Low-stock Message
"Hurry, only 2 left in stock!",Scarcity,Low-stock Message
"Hurry, only 3 left!",Scarcity,Low-stock Message
"Hurry, only 302 left.",Scarcity,Low-stock Message
"Hurry, only 5 left",Scarcity,Low-stock Message
"Hurry, only 6 left in stock!",Scarcity,Low-stock Message
"Hurry, only a few left!",Scarcity,Low-stock Message
"Hurry, this style is selling fast!",Scarcity,High-demand Message
IN HIGH DEMAND!,Scarcity,High-demand Message
In Stock (8) Left,Scarcity,Low-stock Message
In Stock - Limited Quantity,Scarcity,Low-stock Message
In Stock Only 5 left!,Scarcity,Low-stock Message
In Stock only 3 left,Scarcity,Low-stock Message
"In Stock, Only 1 Left!",Scarcity,Low-stock Message
In Stock. Only 1 Left!,Scarcity,Low-stock Message
In demand,Scarcity,High-demand Message
In stock | 44 left,Scarcity,Low-stock Message
"In stock, only 1 products left",Scarcity,Low-stock Message
Items in your cart are in VERY high-demand.,Scarcity,High-demand Message
"Items in your cart are in high demand, but we have reserved your order.",Scarcity,High-demand Message
Items in your cart are in high demand.,Scarcity,High-demand Message
Items in your cart are in high demand. But we have reserved your order.,Scarcity,High-demand Message
Items in your cart are selling fast,Scarcity,High-demand Message
JUST 1 LEFT!,Scarcity,Low-stock Message
LAST 1 LEFT,Scarcity,Low-stock Message
LAST CHANCE TO ACTIVATE 10% OFF,Scarcity,Low-stock Message
LESS THAN 5 LEFT!,Scarcity,Low-stock Message
LESS THAN 8 LEFT IN STOCK!,Scarcity,Low-stock Message
LIMITED QUANTITY,Scarcity,Low-stock Message
LIVE REMAINING STOCK,Scarcity,Low-stock Message
LOW IN STOCK!! GET YOURS NOW,Scarcity,Low-stock Message
"LOW IN STOCK, only 2 left",Scarcity,Low-stock Message
LOW STOCK (ONLY 10 LEFT!),Scarcity,Low-stock Message
LOW STOCK: Only 1 left.,Scarcity,Low-stock Message
Last 1 in stock,Scarcity,Low-stock Message
Last 1 left,Scarcity,Low-stock Message
Last chance! Only 1 left,Scarcity,Low-stock Message
Last one available,Scarcity,Low-stock Message
Less than 10 left in stock,Scarcity,Low-stock Message
Less than 10 left!,Scarcity,Low-stock Message
Less than 6 items left,Scarcity,Low-stock Message
Less than 7 left!,Scarcity,Low-stock Message
Limited Availability,Scarcity,Low-stock Message
Limited Quantity,Scarcity,Low-stock Message
Limited Quantity Available,Scarcity,Low-stock Message
Limited Stock,Scarcity,Low-stock Message
Limited Stock!,Scarcity,Low-stock Message
Limited quantity available,Scarcity,Low-stock Message
Limited quantity remaining,Scarcity,Low-stock Message
Limited quantity!,Scarcity,Low-stock Message
Limited stock Only 2 left,Scarcity,Low-stock Message
Limited stock available,Scarcity,Low-stock Message
Limited stock!,Scarcity,Low-stock Message
Limited-time Deal,Scarcity,Low-stock Message
Low In Stock Today,Scarcity,Low-stock Message
Low Stock,Scarcity,Low-stock Message
Low Stock Alert: Only 8 left in inventory,Scarcity,Low-stock Message
Low Stock Only 2 left,Scarcity,Low-stock Message
Low Stock – Selling Fast,Scarcity,Low-stock Message
Low Stock! Only 3 left.,Scarcity,Low-stock Message
Low in stock,Scarcity,Low-stock Message
Low in stock: only 1 left.,Scarcity,Low-stock Message
Low in stock: only 2 left.,Scarcity,Low-stock Message
"ONCE IT'S GONE, IT'S GONE",Scarcity,High-demand Message
ONLY 1 ITEM LEFT,Scarcity,Low-stock Message
ONLY 1 ITEM LEFT!,Scarcity,Low-stock Message
ONLY 1 LEFT,Scarcity,Low-stock Message
ONLY 1 LEFT IN STOCK,Scarcity,Low-stock Message
ONLY 1 LEFT IN STOCK!,Scarcity,Low-stock Message
ONLY 1 LEFT IN THIS SIZE,Scarcity,Low-stock Message
ONLY 1 LEFT!,Scarcity,Low-stock Message
ONLY 1 LEFT! GET IT NOW!,Scarcity,Low-stock Message
ONLY 1 REMAINING,Scarcity,Low-stock Message
ONLY 1 WATCH LEFT,Scarcity,Low-stock Message
ONLY 11 LEFT,Scarcity,Low-stock Message
ONLY 12.5M LEFT IN STOCK!,Scarcity,Low-stock Message
ONLY 13 LEFT,Scarcity,Low-stock Message
ONLY 14 LEFT AT THIS PRICE,Scarcity,Low-stock Message
ONLY 2 LEFT,Scarcity,Low-stock Message
ONLY 2 LEFT IN STOCK!,Scarcity,Low-stock Message
ONLY 20 LEFT IN STOCK,Scarcity,Low-stock Message
ONLY 3 LEFT,Scarcity,Low-stock Message
ONLY 3 LEFT IN STOCK!,Scarcity,Low-stock Message
ONLY 3 LEFT IN STOCK.,Scarcity,Low-stock Message
ONLY 3 LEFT! GET IT NOW!,Scarcity,Low-stock Message
ONLY 4 LEFT,Scarcity,Low-stock Message
ONLY 4 LEFT IN STOCK,Scarcity,Low-stock Message
ONLY 4 LEFT!,Scarcity,Low-stock Message
ONLY 5 LEFT,Scarcity,Low-stock Message
ONLY 5 LEFT IN STOCK,Scarcity,Low-stock Message
ONLY 5 LEFT IN STOCK!,Scarcity,Low-stock Message
ONLY 5 LEFT!,Scarcity,Low-stock Message
"ONLY 5 LEFT, HURRY!",Scarcity,Low-stock Message
"ONLY 5 LEFT, ORDER SOON!",Scarcity,Low-stock Message
ONLY 52 items left in stock!,Scarcity,Low-stock Message
ONLY 7 LEFT!,Scarcity,Low-stock Message
ONLY 8 LEFT,Scarcity,Low-stock Message
ONLY 9 LEFT,Scarcity,Low-stock Message
ONLY A FEW LEFT,Scarcity,Low-stock Message
ONLY A FEW LEFT IN STOCK,Scarcity,Low-stock Message
ONLY A FEW LEFT!,Scarcity,Low-stock Message
Only 1 Item Left!,Scarcity,Low-stock Message
Only 1 Item(s) left,Scarcity,Low-stock Message
Only 1 Left,Scarcity,Low-stock Message
Only 1 Left !,Scarcity,Low-stock Message
Only 1 Left in Stock!,Scarcity,Low-stock Message
Only 1 Left in Stock. Buy Soon!,Scarcity,Low-stock Message
Only 1 Left in this Size!,Scarcity,Low-stock Message
Only 1 Left!,Scarcity,Low-stock Message
Only 1 in stock,Scarcity,Low-stock Message
Only 1 item left,Scarcity,Low-stock Message
Only 1 item left in stock,Scarcity,Low-stock Message
Only 1 item left!,Scarcity,Low-stock Message
Only 1 item(s) left in stock,Scarcity,Low-stock Message
Only 1 items left,Scarcity,Low-stock Message
Only 1 items left in stock!,Scarcity,Low-stock Message
Only 1 left,Scarcity,Low-stock Message
"Only 1 left , In Stock",Scarcity,Low-stock Message
Only 1 left In Stock,Scarcity,Low-stock Message
Only 1 left in Stock,Scarcity,Low-stock Message
Only 1 left in Stock!,Scarcity,Low-stock Message
